Year,Gender.Code,Race,Hispanic.Origin,county,rural_urban_class,attr,Education,source,measure1,measure2,scenario,method,min_age,max_age,mean,lower,upper
1992,A,Asian or Pacific Islander,All Origins,51770,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,126502875.636797,98830371.5912473,154175379.682346
1992,A,Asian or Pacific Islander,All Origins,51770,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,101506167.916375,79301693.6846679,123710642.148082
1992,A,Asian or Pacific Islander,All Origins,54039,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,116.505216009441,91.0197000073757,141.990732011506
1992,A,Asian or Pacific Islander,All Origins,54039,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,65.258411184485,50.9831337378789,79.533688631091
1992,A,Asian or Pacific Islander,All Origins,54039,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,46.6131508460607,36.4165240984849,56.8097775936365
1992,A,Asian or Pacific Islander,All Origins,55079,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,4208.7994495224,3288.12456993937,5129.47432910542
1992,A,Asian or Pacific Islander,All Origins,55079,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,4208.7994495224,3288.12456993937,5129.47432910542
1992,A,Asian or Pacific Islander,All Origins,55079,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,4208.7994495224,3288.12456993937,5129.47432910542
1992,A,Asian or Pacific Islander,All Origins,55139,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,950.191213311337,742.336885399481,1158.04554122319
1992,A,Asian or Pacific Islander,All Origins,55139,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,950.191213311337,742.336885399481,1158.04554122319
1992,A,Asian or Pacific Islander,All Origins,55139,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,950.191213311337,742.336885399481,1158.04554122319
1992,A,Black or African American,All Origins,4019,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,0,0,0
1992,A,Black or African American,All Origins,4019,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,0,0,0
1992,A,Black or African American,All Origins,4019,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,0,0,0
1992,A,Black or African American,All Origins,5119,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,3267.67358655537,3126.28386406019,3409.06330905056
1992,A,Black or African American,All Origins,5119,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,2782.92171997496,2662.50683786066,2903.33660208927
1992,A,Black or African American,All Origins,5119,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,1987.80122855355,1901.7905984719,2073.81185863519
1992,A,Black or African American,All Origins,6019,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,126071.626888386,120616.6045711,131526.649205672
1992,A,Black or African American,All Origins,6019,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,100084.582084012,95753.9992053767,104415.164962647
1992,A,Black or African American,All Origins,6019,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,73207.6090485114,70039.9721185278,76375.2459784951
1992,A,Black or African American,All Origins,9011,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,2312.51003423462,2212.44950390716,2412.57056456208
1992,A,Black or African American,All Origins,9011,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,1879.28452662292,1797.96933075943,1960.59972248641
1992,A,Black or African American,All Origins,9011,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,1342.34609044494,1284.26380768531,1400.42837320458
1992,A,Black or African American,All Origins,12011,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,128453.654317788,122895.563505961,134011.745129616
1992,A,Black or African American,All Origins,12011,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,105166.734529183,100616.250823594,109717.218234773
1992,A,Black or African American,All Origins,12011,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,75119.0960922738,71868.7505882812,78369.4415962664
1992,A,Black or African American,All Origins,12099,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,184109863.373298,176143571.208107,192076155.538488
1992,A,Black or African American,All Origins,12099,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,184109863.373298,176143571.208107,192076155.538488
1992,A,Black or African American,All Origins,12099,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,174016884.095745,166487307.380063,181546460.811426
1992,A,Black or African American,All Origins,17099,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,26.9238164759135,25.7588436476288,28.0887893041982
1992,A,Black or African American,All Origins,17099,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,21.4432739899932,20.5154400192724,22.3711079607141
1992,A,Black or African American,All Origins,17099,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,15.3166242785666,14.6538857280517,15.9793628290815
1992,A,Black or African American,All Origins,17119,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,159325.479405009,152431.588469215,166219.370340802
1992,A,Black or African American,All Origins,17119,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,115073.283687804,110094.151220543,120052.416155065
1992,A,Black or African American,All Origins,17119,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,82195.2026341457,78638.6794432452,85751.7258250463
1992,A,Black or African American,All Origins,18039,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,39470.5011819251,37762.6429577072,41178.3594061431
1992,A,Black or African American,All Origins,18039,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,18583.7277661915,17779.6241609236,19387.8313714594
1992,A,Black or African American,All Origins,18039,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,13274.0912615654,12699.7315435169,13848.4509796139
1992,A,Black or African American,All Origins,22019,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,858.371735982209,821.23065125221,895.512820712209
1992,A,Black or African American,All Origins,22019,666,attributable,666,nvss,Deaths,age-adjusted rate,B,di_gee,25,150,676.768587505728,647.485331315577,706.05184369588
1992,A,Black or African American,All Origins,22019,666,attributable,666,nvss,Deaths,age-adjusted rate,D,di_gee,25,150,483.406133932663,462.489522368269,504.322745497057
1992,A,Black or African American,All Origins,26099,666,attributable,666,nvss,Deaths,age-adjusted rate,A,di_gee,25,150,27827.69534438,26623.6123727482,29031.7783160118
