Year,Gender.Code,nation,source,measure1,measure2,overall_value,Education,Ethnicity
2004,F,us,wonder,YLL,crude rate,3209.12327674075,666,"Asian or Pacific Islander, All Origins"
2004,M,us,nvss,Deaths,age-adjusted rate,2356.42768474736,666,"Asian or Pacific Islander, All Origins"
2004,M,us,nvss,YLL,crude rate,4213.76615121277,666,"Asian or Pacific Islander, All Origins"
2004,M,us,wonder,Deaths,age-adjusted rate,2326.65053745512,666,"Asian or Pacific Islander, All Origins"
2004,M,us,wonder,YLL,crude rate,4142.40415911023,666,"Asian or Pacific Islander, All Origins"
2004,A,us,nvss,Deaths,age-adjusted rate,10887.3563772857,666,"Black or African American, All Origins"
2004,A,us,nvss,YLL,crude rate,22067.1398034045,666,"Black or African American, All Origins"
2004,A,us,wonder,Deaths,age-adjusted rate,10870.7769102146,666,"Black or African American, All Origins"
2004,A,us,wonder,YLL,crude rate,22026.4986811658,666,"Black or African American, All Origins"
2004,F,us,nvss,Deaths,age-adjusted rate,5229.65689684174,666,"Black or African American, All Origins"
2004,F,us,nvss,YLL,crude rate,9591.57203215647,666,"Black or African American, All Origins"
2004,F,us,wonder,Deaths,age-adjusted rate,5223.18405282504,666,"Black or African American, All Origins"
2004,F,us,wonder,YLL,crude rate,9576.83904494834,666,"Black or African American, All Origins"
2004,M,us,nvss,Deaths,age-adjusted rate,5657.69948044396,666,"Black or African American, All Origins"
2004,M,us,nvss,YLL,crude rate,12475.5677712481,666,"Black or African American, All Origins"
2004,M,us,wonder,Deaths,age-adjusted rate,5647.59285738962,666,"Black or African American, All Origins"
2004,M,us,wonder,YLL,crude rate,12449.6596362174,666,"Black or African American, All Origins"
2004,A,us,nvss,Deaths,age-adjusted rate,6486.8528389109,666,"White, Hispanic or Latino"
2004,A,us,nvss,YLL,crude rate,10121.5498809819,666,"White, Hispanic or Latino"
2004,A,us,wonder,Deaths,age-adjusted rate,6427.76685870556,666,"White, Hispanic or Latino"
2004,A,us,wonder,YLL,crude rate,9981.54732484638,666,"White, Hispanic or Latino"
2004,F,us,nvss,Deaths,age-adjusted rate,2899.73538566874,666,"White, Hispanic or Latino"
2004,F,us,nvss,YLL,crude rate,3787.91415391229,666,"White, Hispanic or Latino"
2004,F,us,wonder,Deaths,age-adjusted rate,2875.77605779679,666,"White, Hispanic or Latino"
