Year,nation,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,min_age,max_age,scenario,method,mean,lower,upper,attr
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,absolute number,25,110,C,di_gee,58.3178717069547,34.9907230241728,81.6450203897364,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,absolute number,25,110,C,di_coxme,84.5609139750842,52.4860845362592,118.385279565118,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,age-adjusted rate,25,150,A,di_gee,25.5440000483989,15.3264000290393,35.7616000677583,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,age-adjusted rate,25,150,A,di_coxme,37.0388000701783,22.989600043559,51.8543200982496,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,age-adjusted rate,25,150,B,di_gee,25.2248022161971,15.1348813297183,35.3147231026759,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,age-adjusted rate,25,150,B,di_coxme,36.5759632134858,22.7023219945774,51.2063484988802,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,age-adjusted rate,25,150,C,di_gee,16.4201273131768,9.85207638790608,22.9881782384475,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,age-adjusted rate,25,150,C,di_coxme,23.8091846041063,14.7781145818591,33.3328584457489,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,crude rate,25,110,A,di_gee,26.9632089016311,16.1779253409786,37.7484924622834,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,crude rate,25,110,A,di_coxme,39.096652907365,24.266888011468,54.735314070311,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,crude rate,25,110,B,di_gee,26.6262766351773,15.9757659811064,37.2767872892481,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,crude rate,25,110,B,di_coxme,38.608101121007,23.9636489716595,54.0513415694098,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,crude rate,25,110,C,di_gee,17.3324194369595,10.3994516621757,24.2653872117433,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,Deaths,crude rate,25,110,C,di_coxme,25.1320081835913,15.5991774932636,35.1848114570279,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,absolute number,25,110,A,di_gee,2575.49184009902,1545.29510405941,3605.68857613862,attributable
2010,us,American Indian or Alaska Native,All Origins,A,666,3,nvss,YLL,absolute number,25,110,A,di_coxme,3734.46316814358,2317.94265608912,5228.24843540101,attributable
