Year,Race,Hispanic.Origin,label_cause,Gender.Code,nation,Education,attr,source,min_age,max_age,value,measure1,measure2
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,10,14,3.17243768586053,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,15,19,11.2044809224476,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,25,29,17.097916457431,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,20,24,15.2988362657535,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,30,34,20.591443808149,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,0,4,8.98331172401443,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,35,39,28.2183453301765,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,40,44,42.8492859225744,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,45,49,58.7401731260476,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,50,54,64.6709876845177,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,55,59,94.9832886352341,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,60,64,95.1343453731015,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,70,74,155.507393157743,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,80,84,252.129934459667,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,65,69,147.04954987254,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,75,79,235.330759452232,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,A,us,666,overall,wonder,85,150,152.398623268811,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,5,9,0.474275959444816,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,10,14,1.37186494523698,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,15,19,3.8353800080686,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,25,29,5.00958061810079,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,20,24,4.36453286860837,Deaths,age-adjusted rate
2004,American Indian or Alaska Native,All Origins,all-cause,F,us,666,overall,wonder,30,34,7.67450136681668,Deaths,age-adjusted rate
