"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	Population
	"< 1 year"	"0"	"1996"	"1996"	"Louisiana"	"22"	62134
	"< 1 year"	"0"	"1996"	"1996"	"Maine"	"23"	13638
	"< 1 year"	"0"	"1996"	"1996"	"Maryland"	"24"	70360
	"< 1 year"	"0"	"1996"	"1996"	"Massachusetts"	"25"	79142
	"< 1 year"	"0"	"1996"	"1996"	"Michigan"	"26"	130616
	"< 1 year"	"0"	"1996"	"1996"	"Minnesota"	"27"	62550
	"< 1 year"	"0"	"1996"	"1996"	"Mississippi"	"28"	39189
	"< 1 year"	"0"	"1996"	"1996"	"Missouri"	"29"	71373
	"< 1 year"	"0"	"1996"	"1996"	"Montana"	"30"	10768
	"< 1 year"	"0"	"1996"	"1996"	"Nebraska"	"31"	22603
	"< 1 year"	"0"	"1996"	"1996"	"Nevada"	"32"	25456
	"< 1 year"	"0"	"1996"	"1996"	"New Hampshire"	"33"	14412
	"< 1 year"	"0"	"1996"	"1996"	"New Jersey"	"34"	110457
	"< 1 year"	"0"	"1996"	"1996"	"New Mexico"	"35"	26427
	"< 1 year"	"0"	"1996"	"1996"	"New York"	"36"	251360
	"< 1 year"	"0"	"1996"	"1996"	"North Carolina"	"37"	99850
	"< 1 year"	"0"	"1996"	"1996"	"North Dakota"	"38"	8166
	"< 1 year"	"0"	"1996"	"1996"	"Ohio"	"39"	149606
	"< 1 year"	"0"	"1996"	"1996"	"Oklahoma"	"40"	44665
	"< 1 year"	"0"	"1996"	"1996"	"Oregon"	"41"	42392
	"< 1 year"	"0"	"1996"	"1996"	"Pennsylvania"	"42"	143654
	"< 1 year"	"0"	"1996"	"1996"	"Rhode Island"	"44"	13059
	"< 1 year"	"0"	"1996"	"1996"	"South Carolina"	"45"	50052
	"< 1 year"	"0"	"1996"	"1996"	"South Dakota"	"46"	10003
	"< 1 year"	"0"	"1996"	"1996"	"Tennessee"	"47"	70737
	"< 1 year"	"0"	"1996"	"1996"	"Texas"	"48"	318459
	"< 1 year"	"0"	"1996"	"1996"	"Utah"	"49"	40589
	"< 1 year"	"0"	"1996"	"1996"	"Vermont"	"50"	6574
	"< 1 year"	"0"	"1996"	"1996"	"Virginia"	"51"	88640
	"< 1 year"	"0"	"1996"	"1996"	"Washington"	"53"	75376
	"< 1 year"	"0"	"1996"	"1996"	"West Virginia"	"54"	20355
	"< 1 year"	"0"	"1996"	"1996"	"Wisconsin"	"55"	60371
	"< 1 year"	"0"	"1996"	"1996"	"Wyoming"	"56"	6285
	"< 1 year"	"0"	"1997"	"1997"	"Alabama"	"01"	58359
	"< 1 year"	"0"	"1997"	"1997"	"Alaska"	"02"	9385
	"< 1 year"	"0"	"1997"	"1997"	"Arizona"	"04"	72695
	"< 1 year"	"0"	"1997"	"1997"	"Arkansas"	"05"	35315
	"< 1 year"	"0"	"1997"	"1997"	"California"	"06"	496336
	"< 1 year"	"0"	"1997"	"1997"	"Colorado"	"08"	55944
	"< 1 year"	"0"	"1997"	"1997"	"Connecticut"	"09"	42635
	"< 1 year"	"0"	"1997"	"1997"	"Delaware"	"10"	9916
