Year,Race,Hispanic.Origin,Education,Gender.Code,STATEFP,measure1,measure2,attr,min_age,max_age,scenario,mean,lower,upper,source,method
2000,All,All Origins,666,A,11,Deaths,age-adjusted rate,attributable,85,150,A,4.50359560352779,3.44820054533275,5.87200497090161,nvss,GBD
2000,All,All Origins,666,A,11,Deaths,age-adjusted rate,attributable,85,150,B,3.18642353432214,2.24318730397681,4.42545661064263,nvss,GBD
2000,All,All Origins,666,A,11,Deaths,age-adjusted rate,attributable,85,150,C,1.62217773011284,0.863334204050243,2.70737332467523,nvss,GBD
2000,All,All Origins,666,A,11,Deaths,crude rate,attributable,25,150,A,45.9134988091127,38.1505694041336,55.8629136719212,nvss,GBD
2000,All,All Origins,666,A,11,Deaths,crude rate,attributable,25,150,B,32.9130661070986,25.3301783571928,42.8398754636071,nvss,GBD
2000,All,All Origins,666,A,11,Deaths,crude rate,attributable,25,150,C,17.0706327096777,9.91884138301558,26.6590700930374,nvss,GBD
2000,All,All Origins,666,A,11,YLL,absolute number,attributable,25,150,A,4148.8145467692,3429.83743521227,5020.15877473256,nvss,GBD
2000,All,All Origins,666,A,11,YLL,absolute number,attributable,25,150,B,2985.94805510129,2295.54792964727,3864.53485829436,nvss,GBD
2000,All,All Origins,666,A,11,YLL,absolute number,attributable,25,150,C,1557.18075504448,900.157444850583,2433.70371802917,nvss,GBD
2000,All,All Origins,666,A,11,YLL,age-adjusted rate,attributable,85,150,A,38.3358306300858,29.3908482008113,49.9111487344656,nvss,GBD
2000,All,All Origins,666,A,11,YLL,age-adjusted rate,attributable,85,150,B,27.1222129526072,19.1247869386143,37.6285454307736,nvss,GBD
2000,All,All Origins,666,A,11,YLL,age-adjusted rate,attributable,85,150,C,13.8071159019189,7.36266500615527,22.9974811386751,nvss,GBD
2000,All,All Origins,666,A,11,YLL,crude rate,attributable,25,150,A,1079.13055664432,892.120469338023,1305.77220841041,nvss,GBD
2000,All,All Origins,666,A,11,YLL,crude rate,attributable,25,150,B,776.662285211503,597.085236565477,1005.18777250483,nvss,GBD
2000,All,All Origins,666,A,11,YLL,crude rate,attributable,25,150,C,405.031682193544,234.136135413811,633.020352763018,nvss,GBD
2000,All,All Origins,666,A,12,Deaths,absolute number,attributable,25,150,A,3836.73591638659,2819.56248344911,5182.40566398678,nvss,GBD
2000,All,All Origins,666,A,12,Deaths,absolute number,attributable,25,150,B,3711.18729403195,2695.88561898532,5054.44454508856,nvss,GBD
2000,All,All Origins,666,A,12,Deaths,absolute number,attributable,25,150,C,2310.04836689489,1332.40085555314,3607.39721717317,nvss,GBD
2000,All,All Origins,666,A,12,Deaths,age-adjusted rate,attributable,85,150,A,3.13948449754145,2.1388878193593,4.53162444643448,nvss,GBD
2000,All,All Origins,666,A,12,Deaths,age-adjusted rate,attributable,85,150,B,3.03761342995316,2.0446138355664,4.42164858044989,nvss,GBD
2000,All,All Origins,666,A,12,Deaths,age-adjusted rate,attributable,85,150,C,1.88141083635137,0.995418730491254,3.12056882039067,nvss,GBD
2000,All,All Origins,666,A,12,Deaths,crude rate,attributable,25,150,A,34.7186385627521,25.5142321236846,46.8956094593472,nvss,GBD
2000,All,All Origins,666,A,12,Deaths,crude rate,attributable,25,150,B,33.582548579867,24.3950796853962,45.7376887856468,nvss,GBD
2000,All,All Origins,666,A,12,Deaths,crude rate,attributable,25,150,C,20.9036368570899,12.0569006397025,32.6433517616888,nvss,GBD
2000,All,All Origins,666,A,12,YLL,absolute number,attributable,25,150,A,80321.8164042617,59146.56949476,107725.827694988,nvss,GBD
2000,All,All Origins,666,A,12,YLL,absolute number,attributable,25,150,B,77612.4976914785,56450.581238998,104991.396546923,nvss,GBD
2000,All,All Origins,666,A,12,YLL,absolute number,attributable,25,150,C,48368.928918997,28041.286043986,75909.0843490559,nvss,GBD
2000,All,All Origins,666,A,12,YLL,age-adjusted rate,attributable,85,150,A,27.253237549897,18.627255908271,39.2358170623432,nvss,GBD
2000,All,All Origins,666,A,12,YLL,age-adjusted rate,attributable,85,150,B,26.3685670426535,17.8140737016455,38.2928897982196,nvss,GBD
2000,All,All Origins,666,A,12,YLL,age-adjusted rate,attributable,85,150,C,16.3317582739613,8.67563281424843,27.0213169742615,nvss,GBD
2000,All,All Origins,666,A,12,YLL,crude rate,attributable,25,150,A,726.832436012336,535.217542532671,974.811443144099,nvss,GBD
2000,All,All Origins,666,A,12,YLL,crude rate,attributable,25,150,B,702.315800207752,510.821534086675,950.067564812795,nvss,GBD
2000,All,All Origins,666,A,12,YLL,crude rate,attributable,25,150,C,437.690630109266,253.745708907894,686.901606099172,nvss,GBD
2000,All,All Origins,666,A,13,Deaths,absolute number,attributable,25,150,A,2133.77591683017,1791.59258009913,2568.08704053447,nvss,GBD
