Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,rural_urban_class,source,measure1,measure2,label_cause,value,min_age,max_age,scenario,method,mean,lower,upper
1991,9,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,800.009344960262,25,150,B,di_gee,35.2733301358382,33.5936477484174,36.3931183941188
1991,9,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,800.009344960262,25,150,B,di_gee,38.0728007815398,36.3931183941188,39.1925890398203
1991,9,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,800.009344960262,25,150,C,di_gee,15.1201766197489,14.4001682092847,15.6001822267251
1991,9,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,800.009344960262,25,150,C,di_gee,16.3201906371894,15.6001822267251,16.8001962441655
1991,10,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,423.761747974998,25,150,A,di_coxme,65.4736228565002,51.1512678566407,79.7959778563595
1991,10,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,423.761747974998,25,150,A,di_coxme,95.4823666657292,79.1139609516043,111.850772379854
1991,10,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,423.761747974998,25,150,B,di_coxme,28.4767894639199,22.2474917686874,34.7060871591524
1991,10,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,423.761747974998,25,150,B,di_coxme,41.5286513015498,34.4094539355699,48.6478486675298
1991,10,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,423.761747974998,25,150,C,di_coxme,12.20433834168,9.53463932943746,14.8740373539224
1991,10,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,423.761747974998,25,150,C,di_coxme,17.7979934149499,14.74690882953,20.8490780003699
1991,10,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1241.55182195622,25,150,A,di_gee,409.855152606781,392.12103542668,427.589269786882
1991,10,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1241.55182195622,25,150,A,di_gee,425.618812322426,405.914237677869,443.352929502527
1991,10,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1241.55182195622,25,150,B,di_gee,180.769945276826,172.948168798502,188.59172175515
1991,10,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1241.55182195622,25,150,B,di_gee,187.722635479781,179.031772726087,195.544411958105
1991,10,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1241.55182195622,25,150,C,di_gee,77.4728336900683,74.1206437707866,80.8250236093502
1991,10,Black or African American,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,1241.55182195622,25,150,C,di_gee,80.4525580627633,76.7279025968946,83.8047479820451
1991,10,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,907.049587953346,25,150,A,di_gee,88.8223259491959,84.5926913801867,91.6420823285354
1991,10,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,907.049587953346,25,150,A,di_gee,95.8717168975449,91.6420823285354,98.6914732768845
1991,10,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,907.049587953346,25,150,B,di_gee,40.0008868287425,38.0960826940406,41.2707562518772
1991,10,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,907.049587953346,25,150,B,di_gee,43.1755603865793,41.2707562518772,44.445429809714
1991,10,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,907.049587953346,25,150,C,di_gee,17.1432372123182,16.3268925831602,17.6874669650902
1991,10,White,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,907.049587953346,25,150,C,di_gee,18.5038115942483,17.6874669650902,19.0480413470203
1991,11,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,273.672216406096,25,150,A,di_coxme,43.132022718007,33.6968927484429,52.567152687571
1991,11,Asian or Pacific Islander,All Origins,A,666,666,nvss,Deaths,age-adjusted rate,all-cause,273.672216406096,25,150,A,di_coxme,62.9008664637601,52.1178607842585,73.6838721432618
