Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr,min_age,max_age
2001,2,American Indian or Alaska Native,All Origins,M,666,nvss,Deaths,crude rate,22.2863003110688,95.58755276662,195.477283236332,EPA,attributable,25,150
2001,2,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,absolute number,183.238605704416,785.923623354992,1607.219876209,EPA,attributable,25,150
2001,2,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,age-adjusted rate,50.912360157531,218.366792383844,446.561775971445,EPA,attributable,25,150
2001,2,American Indian or Alaska Native,All Origins,M,666,nvss,YLL,crude rate,690.78868168746,2962.84258220234,6059.03595042224,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,absolute number,1.28668236240819,5.55449764223812,11.4223564803237,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,age-adjusted rate,2.25730699408916,9.74460110963905,20.0389512791305,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,crude rate,6.38171988100483,27.5493385687834,56.652893960538,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,absolute number,33.9350766664919,146.494821752597,301.254259945171,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,age-adjusted rate,19.2038045789103,82.9011808756879,170.479294725265,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,crude rate,168.31205568144,726.588739969235,1494.16853459563,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,absolute number,0.554662114001513,2.39248247719996,4.91642013050102,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,age-adjusted rate,1.56116371292644,6.73393176301699,13.8378600439588,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,F,666,nvss,Deaths,crude rate,4.99200894610307,21.5325576203758,44.2482236567457,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,absolute number,13.4013931856417,57.8056397892488,118.787415926642,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,age-adjusted rate,14.3617108665787,61.9478791205269,127.299490321219,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,F,666,nvss,YLL,crude rate,120.613744808224,520.255960662846,1069.09743431412,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,absolute number,0.728112981257969,3.14643032207016,6.47620581856385,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,age-adjusted rate,3.0801924912072,13.3105868204724,27.3967928705082,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,M,666,nvss,Deaths,crude rate,8.04455840523665,34.7633446256786,71.5523789477832,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,absolute number,20.401325816441,88.1612494373862,181.45972995919,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,age-adjusted rate,24.9255835173256,107.71214604457,221.700770568752,EPA,attributable,25,150
2001,2,Asian or Pacific Islander,All Origins,M,666,nvss,YLL,crude rate,225.404108015037,974.049822532164,2004.85835774158,EPA,attributable,25,150
2001,2,Black or African American,All Origins,A,666,nvss,Deaths,absolute number,1.53811897842378,6.58684158327135,13.4490558174388,EPA,attributable,25,150
2001,2,Black or African American,All Origins,A,666,nvss,Deaths,age-adjusted rate,3.05820696161365,13.0964672223534,26.7404516197901,EPA,attributable,25,150
2001,2,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,11.6347880364885,49.8248228689209,101.732646122835,EPA,attributable,25,150
2001,2,Black or African American,All Origins,A,666,nvss,YLL,absolute number,49.739978638294,213.006512657096,434.918077501494,EPA,attributable,25,150
2001,2,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,27.2694244068262,116.778598505316,238.439298975862,EPA,attributable,25,150
2001,2,Black or African American,All Origins,A,666,nvss,YLL,crude rate,376.247947339592,1611.24442251964,3289.84930031387,EPA,attributable,25,150
2001,2,Black or African American,All Origins,F,666,nvss,Deaths,absolute number,0.599482400555816,2.56722598914314,5.24177092367865,EPA,attributable,25,150
2001,2,Black or African American,All Origins,F,666,nvss,Deaths,age-adjusted rate,3.32039652616625,14.2192802463113,29.0329756967091,EPA,attributable,25,150
2001,2,Black or African American,All Origins,F,666,nvss,Deaths,crude rate,9.76037773617414,41.7978832488301,85.3430629058718,EPA,attributable,25,150
2001,2,Black or African American,All Origins,F,666,nvss,YLL,absolute number,18.5038474406196,79.2409552051155,161.794457019084,EPA,attributable,25,150
2001,2,Black or African American,All Origins,F,666,nvss,YLL,age-adjusted rate,28.8945074298805,123.737961862939,252.648599457696,EPA,attributable,25,150
2001,2,Black or African American,All Origins,F,666,nvss,YLL,crude rate,301.267460772055,1290.14905902174,2634.23082089033,EPA,attributable,25,150
2001,2,Black or African American,All Origins,M,666,nvss,Deaths,absolute number,0.938211777425663,4.01779571741894,8.2035715367946,EPA,attributable,25,150
2001,2,Black or African American,All Origins,M,666,nvss,Deaths,age-adjusted rate,2.20459333077484,9.44094484439502,19.2766063416685,EPA,attributable,25,150
2001,2,Black or African American,All Origins,M,666,nvss,Deaths,crude rate,13.2553232187859,56.7645622692702,115.902395264123,EPA,attributable,25,150
2001,2,Black or African American,All Origins,M,666,nvss,YLL,absolute number,31.2188048421866,133.69133005561,272.972163618357,EPA,attributable,25,150
2001,2,Black or African American,All Origins,M,666,nvss,YLL,age-adjusted rate,22.0242869437542,94.3167501101133,192.576791122508,EPA,attributable,25,150
2001,2,Black or African American,All Origins,M,666,nvss,YLL,crude rate,441.068166744654,1888.82918982213,3856.62847723025,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,A,666,nvss,Deaths,absolute number,0.718781007134247,3.09043773675524,6.33265232350058,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,5.30821912803452,22.8229746548937,46.766825863722,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,A,666,nvss,Deaths,crude rate,6.53081053183943,28.0795723855646,57.5381821143065,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,A,666,nvss,YLL,absolute number,21.2661801622971,91.4350894610156,187.360717492637,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,41.6346013395899,179.010215708993,366.811938955324,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,A,666,nvss,YLL,crude rate,193.22351592129,830.774936044118,1702.35069500851,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,F,666,nvss,Deaths,absolute number,0.339937867764115,1.46153938276221,2.99478045673703,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,F,666,nvss,Deaths,age-adjusted rate,3.44571742902356,14.8146240885485,30.3560391307697,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,F,666,nvss,Deaths,crude rate,6.40908498801123,27.5554182270401,56.4626782944387,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,F,666,nvss,YLL,absolute number,8.91568123956579,38.3323556786607,78.545259198002,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,F,666,nvss,YLL,age-adjusted rate,22.3540264337079,96.1095926472137,196.934227814552,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,F,666,nvss,YLL,crude rate,168.093537699204,722.706555027539,1480.86838608601,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,M,666,nvss,Deaths,absolute number,0.378785093840985,1.6286535122743,3.33737887245419,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,M,666,nvss,Deaths,age-adjusted rate,11.5942348021385,49.8514633750687,102.153846336873,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,M,666,nvss,Deaths,crude rate,6.64302163874053,28.5628465849579,58.5299697028093,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,M,666,nvss,YLL,absolute number,12.3453388895535,53.0809682577647,108.771632921171,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,M,666,nvss,YLL,age-adjusted rate,106.659568480108,458.601681130866,939.750259919222,EPA,attributable,25,150
2001,2,White,Hispanic or Latino,M,666,nvss,YLL,crude rate,216.50892475541,930.918419111973,1907.60492671292,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,A,666,nvss,Deaths,absolute number,39.3584033754802,169.078990952556,346.20333991374,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,3.42099580121465,14.6961885776762,30.0916721878316,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,A,666,nvss,Deaths,crude rate,13.8300560728498,59.4122658713204,121.651571023782,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,A,666,nvss,YLL,absolute number,1054.16861374671,4528.58221421624,9272.64989460196,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,29.1419112011838,125.190163160805,256.337303448768,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,A,666,nvss,YLL,crude rate,370.421810541175,1591.28777038092,3258.29446796468,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,F,666,nvss,Deaths,absolute number,16.6150111624767,71.3981606306792,146.233612639744,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,F,666,nvss,Deaths,age-adjusted rate,3.20086643929051,13.7547892056756,28.1717693968128,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,F,666,nvss,Deaths,crude rate,12.2785837422325,52.7636295740219,108.067436197775,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,F,666,nvss,YLL,absolute number,393.648280030108,1691.58857943197,3464.61459070385,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,F,666,nvss,YLL,age-adjusted rate,26.4206292486251,113.534942144195,232.535748875524,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,F,666,nvss,YLL,crude rate,290.908222935853,1250.09317338691,2560.36905245006,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,M,666,nvss,Deaths,absolute number,22.7547998664818,97.7247743485854,200.050546202384,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,M,666,nvss,Deaths,age-adjusted rate,3.8501013758929,16.5349856024239,33.8484578067622,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,M,666,nvss,Deaths,crude rate,15.2441564333396,65.4689013449446,134.02015569367,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,M,666,nvss,YLL,absolute number,661.118341104895,2839.29725074643,5812.2719610145,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,M,666,nvss,YLL,age-adjusted rate,34.4896470005974,148.122285859369,303.21834343884,EPA,attributable,25,150
2001,2,White,Not Hispanic or Latino,M,666,nvss,YLL,crude rate,442.90397946318,1902.13456963364,3893.82387569723,EPA,attributable,25,150
