Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr
2000,2,Black or African American,All Origins,F,666,nvss,YLL,crude rate,641.325278496068,928.979032479486,1181.51345820955,EPA,attributable
2000,2,Black or African American,All Origins,M,666,nvss,Deaths,absolute number,2.29806014362445,3.32926347528216,4.23436170480714,EPA,attributable
2000,2,Black or African American,All Origins,M,666,nvss,Deaths,age-adjusted rate,749.798730430261,1086.25421922045,1381.56481206776,EPA,attributable
2000,2,Black or African American,All Origins,M,666,nvss,Deaths,crude rate,16.4393743731629,23.8161776613646,30.2908770642187,EPA,attributable
2000,2,Black or African American,All Origins,M,666,nvss,YLL,absolute number,79.2194984674029,114.76748487606,145.968333994664,EPA,attributable
2000,2,Black or African American,All Origins,M,666,nvss,YLL,age-adjusted rate,17873.903461893,25894.4197441877,32934.1129493206,EPA,attributable
2000,2,Black or African American,All Origins,M,666,nvss,YLL,crude rate,566.703615905308,820.999247986697,1044.19725298422,EPA,attributable
2000,2,White,Hispanic or Latino,A,666,nvss,Deaths,absolute number,2.32328597400242,3.37530969654031,4.29437099383261,EPA,attributable
2000,2,White,Hispanic or Latino,A,666,nvss,Deaths,age-adjusted rate,586.57464928548,852.185707499109,1084.22690439161,EPA,attributable
2000,2,White,Hispanic or Latino,A,666,nvss,Deaths,crude rate,11.2306568086355,16.3160907649263,20.7587905149737,EPA,attributable
2000,2,White,Hispanic or Latino,A,666,nvss,YLL,absolute number,88.5389232639429,128.630865747099,163.655696347544,EPA,attributable
2000,2,White,Hispanic or Latino,A,666,nvss,YLL,age-adjusted rate,11909.3354764085,17302.0867696381,22013.2628518408,EPA,attributable
2000,2,White,Hispanic or Latino,A,666,nvss,YLL,crude rate,427.993054884435,621.795648219169,791.104057367156,EPA,attributable
2000,2,White,Hispanic or Latino,F,666,nvss,Deaths,absolute number,0.810365331254366,1.17752007334994,1.49817758635113,EPA,attributable
2000,2,White,Hispanic or Latino,F,666,nvss,Deaths,age-adjusted rate,226.520695017043,329.151131131032,418.784238454409,EPA,attributable
2000,2,White,Hispanic or Latino,F,666,nvss,Deaths,crude rate,8.14437518848608,11.8343725964818,15.0570611693581,EPA,attributable
2000,2,White,Hispanic or Latino,F,666,nvss,YLL,absolute number,34.9862202333247,50.837535894598,64.6814084501584,EPA,attributable
2000,2,White,Hispanic or Latino,F,666,nvss,YLL,age-adjusted rate,5673.04740789065,8243.3526487577,10488.1491655784,EPA,attributable
