Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age
1993,4,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,A,21.7636453153118,93.5710384234762,191.74376279276,EPA,attributable,25,150
1993,4,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,absolute number,B,21.4487533319928,92.3585670932338,189.509989279499,EPA,attributable,25,150
1993,4,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,18.9904739190617,81.6480115815141,167.311352197824,EPA,attributable,25,150
1993,4,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,18.7157061625621,80.5900360061457,165.362211002492,EPA,attributable,25,150
1993,4,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,A,19.7822546859655,85.0522091545559,174.287160770033,EPA,attributable,25,150
1993,4,American Indian or Alaska Native,All Origins,A,666,nvss,Deaths,crude rate,B,19.4960308791383,83.9501227941697,172.256752908213,EPA,attributable,25,150
1993,4,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,A,707.286082976614,3040.91949155378,6231.38692788171,EPA,attributable,25,150
1993,4,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,absolute number,B,697.052562157115,3001.5159777828,6158.79261311683,EPA,attributable,25,150
1993,4,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,A,494.242045275876,2124.95382731079,4354.40975620533,EPA,attributable,25,150
1993,4,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,age-adjusted rate,B,487.090997938826,2097.41917944205,4303.68182097748,EPA,attributable,25,150
1993,4,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,A,642.893836329819,2764.07021847166,5664.07334195182,EPA,attributable,25,150
1993,4,American Indian or Alaska Native,All Origins,A,666,nvss,YLL,crude rate,B,633.591988580856,2728.25405194044,5598.08810819957,EPA,attributable,25,150
1993,4,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,absolute number,A,4.95584237573587,20.8517588260852,41.8899259649502,EPA,attributable,25,150
1993,4,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,absolute number,B,4.81714795242235,20.3173870048998,40.9048241209801,EPA,attributable,25,150
1993,4,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,20.0544805654221,84.3794375260982,169.513201280201,EPA,attributable,25,150
1993,4,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,19.4932349877799,82.2170303125152,165.526854603482,EPA,attributable,25,150
1993,4,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,crude rate,A,11.4311075696265,48.096505111605,96.6229781910555,EPA,attributable,25,150
1993,4,Asian or Pacific Islander,All Origins,A,666,nvss,Deaths,crude rate,B,11.1111960889937,46.8639272152508,94.35074992153,EPA,attributable,25,150
1993,4,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,absolute number,A,121.729767749838,512.179275818491,1028.93727688709,EPA,attributable,25,150
1993,4,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,absolute number,B,118.323033100485,499.053564233426,1004.74033727829,EPA,attributable,25,150
1993,4,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,age-adjusted rate,A,363.050277541965,1527.53785433385,3068.73142742546,EPA,attributable,25,150
1993,4,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,age-adjusted rate,B,352.889936461702,1488.39136352902,2996.56579527956,EPA,attributable,25,150
1993,4,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,crude rate,A,280.780937744702,1181.3887434112,2373.33873895624,EPA,attributable,25,150
1993,4,Asian or Pacific Islander,All Origins,A,666,nvss,YLL,crude rate,B,272.92299003664,1151.11307891642,2317.52626580774,EPA,attributable,25,150
1993,4,Black or African American,All Origins,A,666,nvss,Deaths,absolute number,A,20.8582399901056,87.868494880981,176.719972958376,EPA,attributable,25,150
1993,4,Black or African American,All Origins,A,666,nvss,Deaths,absolute number,B,20.2943423714335,85.6975000489935,172.720742173335,EPA,attributable,25,150
1993,4,Black or African American,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,29.7569955585508,125.355850404934,252.114054346107,EPA,attributable,25,150
1993,4,Black or African American,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,28.9525221733437,122.258643564677,246.408630841318,EPA,attributable,25,150
1993,4,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,A,29.955823625026,126.193443746921,253.798611171013,EPA,attributable,25,150
1993,4,Black or African American,All Origins,A,666,nvss,Deaths,crude rate,B,29.1459749697451,123.075542221734,248.055065594335,EPA,attributable,25,150
1993,4,Black or African American,All Origins,A,666,nvss,YLL,absolute number,A,595.029785976817,2506.65308903996,5041.34805895092,EPA,attributable,25,150
1993,4,Black or African American,All Origins,A,666,nvss,YLL,absolute number,B,578.943295481431,2444.72041443045,4927.26070358328,EPA,attributable,25,150
1993,4,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,A,713.928058600423,3007.5300692809,6048.70532077208,EPA,attributable,25,150
1993,4,Black or African American,All Origins,A,666,nvss,YLL,age-adjusted rate,B,694.627181233063,2933.22206791704,5911.8211411091,EPA,attributable,25,150
1993,4,Black or African American,All Origins,A,666,nvss,YLL,crude rate,A,854.559508799105,3599.96135148637,7240.19540277311,EPA,attributable,25,150
1993,4,Black or African American,All Origins,A,666,nvss,YLL,crude rate,B,831.456693209006,3511.01596212904,7076.34741287273,EPA,attributable,25,150
1993,4,White,All Origins,A,666,nvss,Deaths,absolute number,A,866.963672408783,3657.97333818221,7367.69853911407,EPA,attributable,25,150
1993,4,White,All Origins,A,666,nvss,Deaths,absolute number,B,845.724219258507,3576.15722985829,7216.90236905364,EPA,attributable,25,150
1993,4,White,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,23.9771758894293,101.166718883098,203.764712864848,EPA,attributable,25,150
1993,4,White,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,23.3897670738275,98.9039721472163,199.594219442735,EPA,attributable,25,150
1993,4,White,All Origins,A,666,nvss,Deaths,crude rate,A,37.0144393276659,156.174746990464,314.559005457364,EPA,attributable,25,150
1993,4,White,All Origins,A,666,nvss,Deaths,crude rate,B,36.1076349539609,152.681662477283,308.120862931694,EPA,attributable,25,150
1993,4,White,All Origins,A,666,nvss,YLL,absolute number,A,18844.4785526531,79510.3674021637,160145.622615297,EPA,attributable,25,150
1993,4,White,All Origins,A,666,nvss,YLL,absolute number,B,18382.8139730423,77731.9977338155,156867.889899426,EPA,attributable,25,150
1993,4,White,All Origins,A,666,nvss,YLL,age-adjusted rate,A,513.377649382891,2166.09047602148,4362.8261226483,EPA,attributable,25,150
1993,4,White,All Origins,A,666,nvss,YLL,age-adjusted rate,B,500.800581993007,2117.64258517008,4273.53128160095,EPA,attributable,25,150
1993,4,White,All Origins,A,666,nvss,YLL,crude rate,A,804.55252076559,3394.64243288402,6837.31120522684,EPA,attributable,25,150
1993,4,White,All Origins,A,666,nvss,YLL,crude rate,B,784.842057552917,3318.71611868409,6697.37057956391,EPA,attributable,25,150
1993,5,All,All Origins,A,666,nvss,Deaths,absolute number,A,1047.02408199749,4314.74287904633,8506.53355030099,EPA,attributable,25,150
1993,5,All,All Origins,A,666,nvss,Deaths,absolute number,B,863.263428068742,3619.43148767825,7247.2205698496,EPA,attributable,25,150
1993,5,All,All Origins,A,666,nvss,Deaths,age-adjusted rate,A,39.6564764717015,163.422697153161,322.188527841386,EPA,attributable,25,150
1993,5,All,All Origins,A,666,nvss,Deaths,age-adjusted rate,B,32.6964645920823,137.087486429364,274.491520257277,EPA,attributable,25,150
1993,5,All,All Origins,A,666,nvss,Deaths,crude rate,A,66.9307236276956,275.818740110611,543.777794488474,EPA,attributable,25,150
1993,5,All,All Origins,A,666,nvss,Deaths,crude rate,B,55.183874865358,231.371152542174,463.276561990974,EPA,attributable,25,150
1993,5,All,All Origins,A,666,nvss,YLL,absolute number,A,22031.5073655246,90790.9294108114,178994.695337855,EPA,attributable,25,150
1993,5,All,All Origins,A,666,nvss,YLL,absolute number,B,18164.8110114147,76160.1694276845,152496.199571277,EPA,attributable,25,150
