Year,Education,Gender.Code,Race,Hispanic.Origin,nation,label_cause,attr,source,min_age,max_age,value,measure1,measure2
2001,666,M,Black or African American,All Origins,us,resp_copd,total,nvss,75,79,7.80505187757967,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,t2_dm,total,nvss,30,34,0.00980616092422084,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,t2_dm,total,nvss,25,29,0.0158428623875087,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,t2_dm,total,nvss,35,39,0.0230958783551265,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,t2_dm,total,nvss,40,44,0.0508194193671141,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,t2_dm,total,nvss,45,49,0.09923228903716,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,t2_dm,total,nvss,50,54,0.244561931852858,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,t2_dm,total,nvss,55,59,0.518071126757059,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,t2_dm,total,nvss,85,150,0.334693451568869,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,t2_dm,total,nvss,60,64,0.535205593400422,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,t2_dm,total,nvss,65,69,0.738146274973057,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,t2_dm,total,nvss,80,84,1.03018870163373,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,t2_dm,total,nvss,70,74,0.849653033962457,Deaths,age-adjusted rate
2001,666,M,Black or African American,All Origins,us,t2_dm,total,nvss,75,79,1.16221210439872,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,5,9,0.464111613511756,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,10,14,1.47060842699948,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,0,4,0.789473823257175,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,15,19,7.35273590914432,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,30,34,9.65239061686949,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,25,29,9.56764692820988,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,20,24,10.6350102461869,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,35,39,13.5225827353967,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,40,44,22.2527668471227,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,45,49,32.9314994010264,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,55,59,51.5207705877262,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,50,54,36.8365441910339,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,60,64,49.3357248881843,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,65,69,75.0524126057496,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,80,84,122.321340976466,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,70,74,83.9723301047439,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,75,79,127.793019116371,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,all-cause,overall,nvss,85,150,69.5279830537095,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_ihd,total,nvss,0,4,0.00154495855823322,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_ihd,total,nvss,10,14,0.00468346632802381,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_ihd,total,nvss,15,19,0.0192354111423004,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_ihd,total,nvss,20,24,0.037891960497103,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_ihd,total,nvss,25,29,0.110657838137659,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_ihd,total,nvss,30,34,0.262801590399308,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_ihd,total,nvss,35,39,0.527301877801548,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_ihd,total,nvss,40,44,1.34069905454453,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_ihd,total,nvss,45,49,3.58469272433221,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_ihd,total,nvss,50,54,5.9508188444202,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_ihd,total,nvss,55,59,10.4175994233506,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_ihd,total,nvss,60,64,10.5114723665483,Deaths,age-adjusted rate
2001,666,M,White,Hispanic or Latino,us,cvd_ihd,total,nvss,65,69,18.3461453036277,Deaths,age-adjusted rate
