Year,Education,Gender.Code,Race,Hispanic.Origin,nation,label_cause,attr,source,measure1,measure2,min_age,max_age,value
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,YLL,crude rate,70,74,47.4994918928331
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,YLL,crude rate,75,79,54.5056425093293
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,YLL,crude rate,80,84,54.1222774807212
2006,666,F,White,Hispanic or Latino,us,cvd_ihd,total,nvss,YLL,crude rate,85,150,73.875720326648
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,0,4,0.0278217306248415
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,5,9,0.00740186899020392
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,10,14,0.0148272496628736
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,15,19,0.0616876999629143
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,20,24,0.120335882971375
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,25,29,0.151709181575899
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,30,34,0.218791821592873
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,35,39,0.344887624720413
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,40,44,1.17695930482716
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,45,49,2.22445048856869
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,50,54,2.57114667379734
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,55,59,4.81259680282749
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,60,64,5.78067065179076
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,65,69,6.5608319236494
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,70,74,11.2623469036197
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,75,79,14.2592792170134
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,80,84,31.8083028204635
2006,666,F,White,Hispanic or Latino,us,cvd_stroke,total,nvss,Deaths,age-adjusted rate,85,150,3.30780300801581
