Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,rural_urban_class,nation,label_cause,attr,value,Education,source,measure1,measure2
2013,A,American Indian or Alaska Native,75,84,All Origins,666,us,cvd_ihd,total,23.641424185488,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,85,150,All Origins,666,us,cvd_ihd,total,21.6308290779365,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,25,34,All Origins,666,us,cvd_stroke,total,0.0396448065541244,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,35,44,All Origins,666,us,cvd_stroke,total,0.221660023202197,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,45,54,All Origins,666,us,cvd_stroke,total,0.590057279347747,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,55,64,All Origins,666,us,cvd_stroke,total,0.759054550610071,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,65,74,All Origins,666,us,cvd_stroke,total,2.15530555461252,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,75,84,All Origins,666,us,cvd_stroke,total,4.2197507699498,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,85,150,All Origins,666,us,cvd_stroke,total,3.02489166525234,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,25,34,All Origins,666,us,lri,total,0.0396448065541244,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,35,44,All Origins,666,us,lri,total,0.221660023202197,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,45,54,All Origins,666,us,lri,total,0.147514319836937,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,55,64,All Origins,666,us,lri,total,0.238560001620308,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,65,74,All Origins,666,us,lri,total,0.391873737202277,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,75,84,All Origins,666,us,lri,total,0.649192426146124,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,85,150,All Origins,666,us,lri,total,0.913174842340327,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,25,34,All Origins,666,us,ncd_lri,total,5.7683193536251,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,35,44,All Origins,666,us,ncd_lri,total,19.2290070127906,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,45,54,All Origins,666,us,ncd_lri,total,40.6401951150761,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,55,64,All Origins,666,us,ncd_lri,total,57.5363349362434,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,65,74,All Origins,666,us,ncd_lri,total,95.519223443055,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,75,84,All Origins,666,us,ncd_lri,total,151.802828980502,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,85,150,All Origins,666,us,ncd_lri,total,119.51175749129,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,35,44,All Origins,666,us,neo_lung,total,0.332490034803295,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,45,54,All Origins,666,us,neo_lung,total,1.57348607826066,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,55,64,All Origins,666,us,neo_lung,total,3.77358548017578,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,65,74,All Origins,666,us,neo_lung,total,8.49059763938267,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,75,84,All Origins,666,us,neo_lung,total,10.1706813429559,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,85,150,All Origins,666,us,neo_lung,total,3.36733223112996,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,35,44,All Origins,666,us,resp_copd,total,0.138537514501373,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,45,54,All Origins,666,us,resp_copd,total,0.934257358967267,666,nvss,Deaths,age-adjusted rate
2013,A,American Indian or Alaska Native,55,64,All Origins,666,us,resp_copd,total,2.34222547045393,666,nvss,Deaths,age-adjusted rate
