Year,Gender.Code,Race,Hispanic.Origin,nation,label_cause,attr,Education,source,measure1,measure2,min_age,max_age,value
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,absolute number,45,49,7
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,absolute number,50,54,12
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,absolute number,55,59,10
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,absolute number,60,64,9
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,absolute number,65,69,9
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,absolute number,70,74,17
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,absolute number,75,79,11
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,absolute number,80,84,13
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,absolute number,85,150,34
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,age-adjusted rate,85,150,0.958444682769389
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,crude rate,25,29,0.0632394869886336
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,crude rate,30,34,0.0105399144981056
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,crude rate,35,39,0.052699572490528
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,crude rate,40,44,0.0421596579924224
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,crude rate,45,49,0.0737794014867393
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,crude rate,50,54,0.126478973977267
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,crude rate,55,59,0.105399144981056
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,crude rate,60,64,0.0948592304829505
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,crude rate,65,69,0.0948592304829505
2002,M,White,Hispanic or Latino,us,lri,total,666,nvss,Deaths,crude rate,70,74,0.179178546467795
