"min_age","max_age","Year","Hispanic.Origin","Gender.Code","Race","Population","nation","Education","rural_urban_class","source2"
29,29,2016,"Hispanic or Latino","A","White",788055,"us",666,666,"CDC"
29,29,2016,"Not Hispanic or Latino","A","White",2513764,"us",666,666,"CDC"
30,30,2000,"Hispanic or Latino","A","White",637978,"us",666,666,"CDC"
30,30,2000,"Not Hispanic or Latino","A","White",2795339,"us",666,666,"CDC"
30,30,2001,"Hispanic or Latino","A","White",642660,"us",666,666,"CDC"
30,30,2001,"Not Hispanic or Latino","A","White",2711131,"us",666,666,"CDC"
30,30,2002,"Hispanic or Latino","A","White",655931,"us",666,666,"CDC"
30,30,2002,"Not Hispanic or Latino","A","White",2486536,"us",666,666,"CDC"
30,30,2003,"Hispanic or Latino","A","White",668489,"us",666,666,"CDC"
30,30,2003,"Not Hispanic or Latino","A","White",2306127,"us",666,666,"CDC"
30,30,2004,"Hispanic or Latino","A","White",677314,"us",666,666,"CDC"
30,30,2004,"Not Hispanic or Latino","A","White",2237329,"us",666,666,"CDC"
30,30,2005,"Hispanic or Latino","A","White",712667,"us",666,666,"CDC"
30,30,2005,"Not Hispanic or Latino","A","White",2298077,"us",666,666,"CDC"
30,30,2006,"Hispanic or Latino","A","White",720069,"us",666,666,"CDC"
30,30,2006,"Not Hispanic or Latino","A","White",2211910,"us",666,666,"CDC"
30,30,2007,"Hispanic or Latino","A","White",733381,"us",666,666,"CDC"
30,30,2007,"Not Hispanic or Latino","A","White",2285225,"us",666,666,"CDC"
30,30,2008,"Hispanic or Latino","A","White",745672,"us",666,666,"CDC"
30,30,2008,"Not Hispanic or Latino","A","White",2328519,"us",666,666,"CDC"
30,30,2009,"Hispanic or Latino","A","White",757019,"us",666,666,"CDC"
30,30,2009,"Not Hispanic or Latino","A","White",2403589,"us",666,666,"CDC"
30,30,2010,"Hispanic or Latino","A","White",794891,"us",666,666,"CDC"
30,30,2010,"Not Hispanic or Latino","A","White",2515965,"us",666,666,"CDC"
30,30,2011,"Hispanic or Latino","A","White",773147,"us",666,666,"CDC"
30,30,2011,"Not Hispanic or Latino","A","White",2484900,"us",666,666,"CDC"
30,30,2012,"Hispanic or Latino","A","White",784826,"us",666,666,"CDC"
30,30,2012,"Not Hispanic or Latino","A","White",2504456,"us",666,666,"CDC"
30,30,2013,"Hispanic or Latino","A","White",782808,"us",666,666,"CDC"
30,30,2013,"Not Hispanic or Latino","A","White",2507706,"us",666,666,"CDC"
30,30,2014,"Hispanic or Latino","A","White",771432,"us",666,666,"CDC"
30,30,2014,"Not Hispanic or Latino","A","White",2469203,"us",666,666,"CDC"
30,30,2015,"Hispanic or Latino","A","White",797573,"us",666,666,"CDC"
30,30,2015,"Not Hispanic or Latino","A","White",2555176,"us",666,666,"CDC"
30,30,2016,"Hispanic or Latino","A","White",794891,"us",666,666,"CDC"
30,30,2016,"Not Hispanic or Latino","A","White",2533507,"us",666,666,"CDC"
31,31,2000,"Hispanic or Latino","A","White",591586,"us",666,666,"CDC"
31,31,2000,"Not Hispanic or Latino","A","White",2669518,"us",666,666,"CDC"
31,31,2001,"Hispanic or Latino","A","White",644380,"us",666,666,"CDC"
31,31,2001,"Not Hispanic or Latino","A","White",2786909,"us",666,666,"CDC"
31,31,2002,"Hispanic or Latino","A","White",645627,"us",666,666,"CDC"
31,31,2002,"Not Hispanic or Latino","A","White",2696828,"us",666,666,"CDC"
31,31,2003,"Hispanic or Latino","A","White",654186,"us",666,666,"CDC"
31,31,2003,"Not Hispanic or Latino","A","White",2467745,"us",666,666,"CDC"
