Year,Race,Hispanic.Origin,Deaths,YLL,attrDeaths,attrYLL,effPaf,pop_size,crudeDeaths,crudeYLL,crudeAttrDeaths,crudeAttrYLL
2008,White,Not Hispanic or Latino,548288,10362,43121.8829196019,1324.53388733379,0.0786482339930874,195612690.243918,280.292653465537,5.29720233747573,22.0445221963009,0.677120633473301
2009,American Indian or Alaska Native,All Origins,1630,660,122.807284960876,71.3470246708248,0.0753418926140343,2778329.50047118,58.6683472829111,23.7552817219149,4.42018432083195,2.56798283496342
2009,American Indian or Alaska Native,Not Hispanic or Latino,1542,655,115.572700456947,69.3105625640265,0.0749498705946479,2124531.00030437,72.58072486488,30.8303338433829,5.4399159362885,3.26239356140704
2009,Asian or Pacific Islander,All Origins,9779,1488,823.612041449705,214.885337110083,0.084222521878485,14056999.0043102,69.566768817452,10.5854741794016,5.85908870874336,1.52867149698306
2009,Asian or Pacific Islander,Not Hispanic or Latino,9665,1463,850.200207865878,216.013164545986,0.0879669123503237,13819072.0042395,69.9395733449751,10.5868179827934,6.15236831825646,1.56315246407079
2009,Black or African American,All Origins,60418,7009,5705.63567334592,916.694437605123,0.0944360235914119,38457608.8080441,157.102851353989,18.2252620930866,14.8361685767434,2.38364907756142
2009,Black or African American,Hispanic or Latino,10,7,1.0324492156347,0.72271445094429,0.10324492156347,1187419.80020344,0.84216213998509,0.589513497989563,0.0869489640864847,0.0608642748605393
2009,Black or African American,Not Hispanic or Latino,59620,6968,5816.09093509927,918.914153305961,0.0975526825746272,37270189.0078407,159.966991279431,18.695907333698,15.6052091227005,2.46554733895405
2009,White,All Origins,557175,12664,40016.4098688043,1404.13173462831,0.0718201819335115,221541980.056149,251.498609815975,5.7162981015112,18.0626759130085,0.633799397420045
2009,White,Hispanic or Latino,30437,5810,2596.56316356521,696.792853819824,0.0853094314014264,25709190.4067413,118.389570104934,22.5989224401113,10.0997469095112,2.71028703275353
2009,White,Not Hispanic or Latino,524438,10805,37199.6825474011,1194.15644870475,0.0709324697054773,195832789.649408,267.798871138424,5.51746212641089,18.9956353141873,0.60978370927698
2010,American Indian or Alaska Native,All Origins,1780,632,135.765277377834,69.0331600226664,0.0762726277403564,2823213,63.0487320652037,22.3858419467465,4.80889247031075,2.44519843251878
2010,American Indian or Alaska Native,Not Hispanic or Latino,1684,604,124.214211672618,62.9961833022136,0.0737614083566618,2141719,78.6284288461745,28.2016455006469,5.7997436485654,2.94138415460728
2010,Asian or Pacific Islander,All Origins,10229,1596,864.595559867003,226.814579248726,0.0845239573630857,14508221,70.5048537653238,11.0006595570884,5.95934925355082,1.56335211083927
2010,Asian or Pacific Islander,Not Hispanic or Latino,10067,1571,849.410220743192,222.75121210471,0.084375704851812,14260506,70.5935679982183,11.0164393886164,5.95638205785399,1.5620147847819
2010,Black or African American,All Origins,59543,6564,6019.75881158374,953.789914465793,0.101099353603005,38884632,153.127333183968,16.8807049530519,15.4810744038512,2.45287113548045
2010,Black or African American,Not Hispanic or Latino,58724,6521,5947.54736857736,946.162092609337,0.101279670468247,37643995,155.998320582074,17.3228160294889,15.7994585021525,2.51344760992912
2010,White,All Origins,548571,11140,41897.5775755055,1359.57407183539,0.0763758521239831,222743090,246.279693794317,5.00127748070659,18.8098214743746,0.610377665064892
2010,White,Hispanic or Latino,30376,4436,2594.57341183162,588.1449593594,0.0854152426860554,26690201,113.809558796504,16.620331933806,9.72107108459624,2.20359883898739
2010,White,Not Hispanic or Latino,515819,10177,39074.0372481641,1233.68903453449,0.0757514501175104,196052889,263.101963266657,5.19094620431735,19.9303552462132,0.629263379298885
2011,American Indian or Alaska Native,All Origins,1827,746,133.028577595824,75.6075244058298,0.0728125766808016,2401827,76.0670939247498,31.0596891449717,5.53864110928158,3.14791716496774
2011,Asian or Pacific Islander,All Origins,10525,1668,870.345106244107,233.000049150971,0.0826931217334069,14301586,73.5932364424477,11.6630421269361,6.08565445989072,1.62919028107072
2011,Black or African American,All Origins,60025,6781,5637.62093411175,923.909034988062,0.0939212150622532,38350803,156.515627586729,17.68150721642,14.7001379191767,2.40909958257735
2011,White,All Origins,552969,11561,39966.1801609396,1388.956366694,0.0722756251452425,226358601,244.288928080095,5.1073826878794,17.6561349930501,0.613608831543362
2011,White,Hispanic or Latino,31164,5000,2629.04300165469,650.476136211161,0.084361539008301,30387869,102.554081696219,16.4539342985847,8.65162016347606,2.14057832160314
2011,White,Not Hispanic or Latino,519660,10626,37130.0841376336,1235.52671622439,0.0714507257392018,195970732,265.172250313378,5.42223825545541,18.9467497307882,0.63046491872286
2012,American Indian or Alaska Native,All Origins,1948,692,131.168881019779,67.0191041952727,0.0673351545276075,2427045,80.2622118666939,28.5120383017208,5.4044684387714,2.76134575977259
2012,Asian or Pacific Islander,All Origins,10752,1503,815.469363501515,192.149728915385,0.0758435047899475,14667248,73.3061853184728,10.2473211061816,5.55979801733437,1.31005986205037
2012,Black or African American,All Origins,60310,6578,5266.92855054151,846.42269165649,0.0873309326901262,38779230,155.521396376359,16.9626885319796,13.5818285988183,2.18267018622208
2012,White,All Origins,545640,10829,37020.1391512914,1253.74658778603,0.067847187067098,228481842,238.811099921017,4.73954512324003,16.2026613700407,0.54872920176564
2012,White,Hispanic or Latino,31479,4590,2518.28968832287,558.396678854747,0.0799990370825907,32342930,97.3288443564019,14.1916641442195,7.78621382887349,1.72648760905319
2012,White,Not Hispanic or Latino,511431,9933,34252.3466420365,1124.05015413031,0.0669735441184372,196138912,260.749381540365,5.06426792048281,17.4633102084488,0.573088808675714
2013,American Indian or Alaska Native,All Origins,2095,726,141.155671982055,69.0880702785941,0.0673774090606467,2435986,86.002136301276,29.8031269473634,5.79460111766056,2.83614397942328
2013,Asian or Pacific Islander,All Origins,11970,1776,932.838540538093,231.77932536538,0.0779313734785374,15049620,79.5368919613917,11.8009624163268,6.1984192327653,1.54010084882794
2013,Black or African American,All Origins,61831,6757,5157.03377451052,837.248349525002,0.0834053108393931,39117445,158.065026997545,17.2736230599928,13.1834627095673,2.14034518237324
2013,White,All Origins,554996,11339,36717.6293248683,1256.26400384615,0.0661583674925013,229766453,241.547881665736,4.93501111757163,15.980413522277,0.546756929675088
2013,White,Hispanic or Latino,33960,5050,2664.89426674206,612.50976640947,0.0784715626249135,33487388,101.411313417457,15.0803042626078,7.95790423171273,1.82907596856903
2013,White,Not Hispanic or Latino,518477,10384,33823.3527383369,1101.26043396208,0.065235975247382,196279065,264.152980349687,5.29042666878406,17.2322772876144,0.561068718134601
2014,American Indian or Alaska Native,All Origins,2166,710,142.330802397758,65.3955044590211,0.0657113584477185,2460052,88.0469193334125,28.8611785441934,5.78568267653522,2.65829764814
2014,Asian or Pacific Islander,All Origins,11925,1633,902.919017642227,199.892159919693,0.0757164794668534,15528467,76.7944446802122,10.5161700765439,5.81460499379769,1.28726267647472
2014,Black or African American,All Origins,62070,6766,5214.30027024515,816.214832665219,0.0840067709077679,39512724,157.08863808023,17.1235979579641,13.1965092314191,2.06570124769231
2014,White,All Origins,548080,11463,36133.4074823083,1248.96017911677,0.0659272505515769,231014884,237.24878263688,4.96201794512946,15.6411599359582,0.540640567175215
2014,White,Hispanic or Latino,34313,5385,2676.87921897366,623.372923758629,0.0780135580967463,34632083,99.0786491242817,15.5491657836463,7.72947794960429,1.79998680344647
2014,White,Not Hispanic or Latino,510791,10182,33191.924055193,1068.33748068343,0.0649814191228761,196382801,260.099661171449,5.18477175605617,16.9016450963,0.544007660163394
2015,American Indian or Alaska Native,All Origins,2372,873,150.300377905311,74.9689626973505,0.0633644088976857,2464845,96.2332317042248,35.4180485994048,6.09776184325223,3.04152848139946
2015,Asian or Pacific Islander,All Origins,13276,1865,1003.32986774428,231.061986952156,0.0755747113395811,16060346,82.6632253128295,11.6124521850276,6.24724939141584,1.43871113954927
2015,Black or African American,All Origins,63544,6732,5156.57722319783,812.340485374399,0.0811497108019298,39854385,159.440422929622,16.8914913628701,12.9385442108762,2.0382712852661
2015,White,All Origins,564798,10994,35700.9892581143,1158.51918441792,0.0632101906488945,232101641,243.340804298751,4.73671791058125,15.3816186323794,0.499143038983477
2015,White,Hispanic or Latino,36962,5275,2806.41697665104,613.975813792494,0.0759270866471253,35622665,103.759783272812,14.8079881165544,7.87817805504177,1.72355384919262
2015,White,Not Hispanic or Latino,524348,9640,32609.3148949816,982.096865376125,0.0621902150765935,196478976,266.872319204269,4.9063773622273,16.5968469293028,0.499848322385457
2016,American Indian or Alaska Native,All Origins,2408,768,140.649709435035,61.9784246630075,0.0584093477720247,2491528,96.6475191127694,30.8244579230095,5.64511855516115,2.48756685307199
2016,Asian or Pacific Islander,All Origins,13965,2006,945.048010824114,220.159275754186,0.067672610871759,16440230,84.9440670842196,12.2017757659108,5.74838679765499,1.33914960894213
2016,Black or African American,All Origins,66289,7138,4970.20607946284,793.185925630569,0.0749778406592774,40191504,164.932867404017,17.7599723563468,12.3663102516961,1.97351640692662
2016,White,All Origins,559679,10877,32500.1850104891,1055.61439369125,0.0580693308315822,232819917,240.391375107311,4.67185116297417,13.9593662901654,0.453403818407535
2016,White,Hispanic or Latino,38634,5311,2718.37985883942,565.61558097151,0.0703623714562154,36230105,106.635075995502,14.6590797901359,7.50309682745723,1.56117566032864
2016,White,Not Hispanic or Latino,518239,10014,29572.0014080729,930.381563245559,0.0570624777526834,196589812,263.614372854683,5.09385501625079,15.0424892863079,0.473260314855766
