Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,method,attr
2005,us,Black or African American,All Origins,A,666,wonder,Deaths,age-adjusted rate,1463.62257949377,1463.62257949377,1463.62257949377,burnett,attributable
2005,us,Black or African American,All Origins,A,666,wonder,Deaths,crude rate,101.002757921317,101.002757921317,101.002757921317,burnett,attributable
2005,us,Black or African American,All Origins,A,666,wonder,YLL,absolute number,1171168.88327147,1171168.88327147,1171168.88327147,burnett,attributable
2005,us,Black or African American,All Origins,A,666,wonder,YLL,age-adjusted rate,38450.7438504792,38450.7438504792,38450.7438504792,burnett,attributable
2005,us,Black or African American,All Origins,A,666,wonder,YLL,crude rate,2981.53535704686,2981.53535704686,2981.53535704686,burnett,attributable
2005,us,Black or African American,All Origins,F,666,wonder,Deaths,absolute number,19609.9356524178,19609.9356524178,19609.9356524178,burnett,attributable
2005,us,Black or African American,All Origins,F,666,wonder,Deaths,age-adjusted rate,1179.98834030945,1179.98834030945,1179.98834030945,burnett,attributable
2005,us,Black or African American,All Origins,F,666,wonder,Deaths,crude rate,95.4206856980114,95.4206856980114,95.4206856980114,burnett,attributable
2005,us,Black or African American,All Origins,F,666,wonder,YLL,absolute number,508655.555447712,508655.555447712,508655.555447712,burnett,attributable
2005,us,Black or African American,All Origins,F,666,wonder,YLL,age-adjusted rate,29785.8496172883,29785.8496172883,29785.8496172883,burnett,attributable
2005,us,Black or African American,All Origins,F,666,wonder,YLL,crude rate,2475.08521931021,2475.08521931021,2475.08521931021,burnett,attributable
2005,us,Black or African American,All Origins,M,666,wonder,Deaths,absolute number,20050.1188419249,20050.1188419249,20050.1188419249,burnett,attributable
2005,us,Black or African American,All Origins,M,666,wonder,Deaths,age-adjusted rate,1859.6855057524,1859.6855057524,1859.6855057524,burnett,attributable
2005,us,Black or African American,All Origins,M,666,wonder,Deaths,crude rate,107.049872194555,107.049872194555,107.049872194555,burnett,attributable
2005,us,Black or African American,All Origins,M,666,wonder,YLL,absolute number,661291.026216416,661291.026216416,661291.026216416,burnett,attributable
2005,us,Black or African American,All Origins,M,666,wonder,YLL,age-adjusted rate,49447.6706900264,49447.6706900264,49447.6706900264,burnett,attributable
2005,us,Black or African American,All Origins,M,666,wonder,YLL,crude rate,3530.70824158154,3530.70824158154,3530.70824158154,burnett,attributable
2005,us,White,Hispanic or Latino,A,666,wonder,Deaths,absolute number,15269.8556052757,15269.8556052757,15269.8556052757,burnett,attributable
2005,us,White,Hispanic or Latino,A,666,wonder,Deaths,age-adjusted rate,783.704845772027,783.704845772027,783.704845772027,burnett,attributable
2005,us,White,Hispanic or Latino,A,666,wonder,Deaths,crude rate,38.8485536136498,38.8485536136498,38.8485536136498,burnett,attributable
2005,us,White,Hispanic or Latino,A,666,wonder,YLL,absolute number,479095.718935819,479095.718935819,479095.718935819,burnett,attributable
2005,us,White,Hispanic or Latino,A,666,wonder,YLL,age-adjusted rate,19165.9346560523,19165.9346560523,19165.9346560523,burnett,attributable
2005,us,White,Hispanic or Latino,A,666,wonder,YLL,crude rate,1218.88354443364,1218.88354443364,1218.88354443364,burnett,attributable
2005,us,White,Hispanic or Latino,F,666,wonder,Deaths,absolute number,6707.75103908627,6707.75103908627,6707.75103908627,burnett,attributable
2005,us,White,Hispanic or Latino,F,666,wonder,Deaths,age-adjusted rate,611.458229301693,611.458229301693,611.458229301693,burnett,attributable
2005,us,White,Hispanic or Latino,F,666,wonder,Deaths,crude rate,34.9813255947034,34.9813255947034,34.9813255947034,burnett,attributable
2005,us,White,Hispanic or Latino,F,666,wonder,YLL,absolute number,179668.604188648,179668.604188648,179668.604188648,burnett,attributable
2005,us,White,Hispanic or Latino,F,666,wonder,YLL,age-adjusted rate,14048.5866337259,14048.5866337259,14048.5866337259,burnett,attributable
2005,us,White,Hispanic or Latino,F,666,wonder,YLL,crude rate,936.982590088069,936.982590088069,936.982590088069,burnett,attributable
2005,us,White,Hispanic or Latino,M,666,wonder,Deaths,absolute number,8563.44160762673,8563.44160762673,8563.44160762673,burnett,attributable
2005,us,White,Hispanic or Latino,M,666,wonder,Deaths,age-adjusted rate,996.238080845506,996.238080845506,996.238080845506,burnett,attributable
2005,us,White,Hispanic or Latino,M,666,wonder,Deaths,crude rate,42.5388402483743,42.5388402483743,42.5388402483743,burnett,attributable
2005,us,White,Hispanic or Latino,M,666,wonder,YLL,absolute number,299517.034564143,299517.034564143,299517.034564143,burnett,attributable
2005,us,White,Hispanic or Latino,M,666,wonder,YLL,age-adjusted rate,24901.625652123,24901.625652123,24901.625652123,burnett,attributable
2005,us,White,Hispanic or Latino,M,666,wonder,YLL,crude rate,1487.84891271326,1487.84891271326,1487.84891271326,burnett,attributable
2005,us,White,Not Hispanic or Latino,A,666,wonder,Deaths,absolute number,236037.438691609,236037.438691609,236037.438691609,burnett,attributable
2005,us,White,Not Hispanic or Latino,A,666,wonder,Deaths,age-adjusted rate,933.070689670972,933.070689670972,933.070689670972,burnett,attributable
2005,us,White,Not Hispanic or Latino,A,666,wonder,Deaths,crude rate,118.682758876338,118.682758876338,118.682758876338,burnett,attributable
2005,us,White,Not Hispanic or Latino,A,666,wonder,YLL,absolute number,4827231.17988931,4827231.17988931,4827231.17988931,burnett,attributable
2005,us,White,Not Hispanic or Latino,A,666,wonder,YLL,age-adjusted rate,22602.6926333998,22602.6926333998,22602.6926333998,burnett,attributable
2005,us,White,Not Hispanic or Latino,A,666,wonder,YLL,crude rate,2427.19594543504,2427.19594543504,2427.19594543504,burnett,attributable
2005,us,White,Not Hispanic or Latino,F,666,wonder,Deaths,absolute number,122114.045345456,122114.045345456,122114.045345456,burnett,attributable
2005,us,White,Not Hispanic or Latino,F,666,wonder,Deaths,age-adjusted rate,762.101507806507,762.101507806507,762.101507806507,burnett,attributable
2005,us,White,Not Hispanic or Latino,F,666,wonder,Deaths,crude rate,120.541599467064,120.541599467064,120.541599467064,burnett,attributable
2005,us,White,Not Hispanic or Latino,F,666,wonder,YLL,absolute number,2173959.11446301,2173959.11446301,2173959.11446301,burnett,attributable
2005,us,White,Not Hispanic or Latino,F,666,wonder,YLL,age-adjusted rate,17743.9153258914,17743.9153258914,17743.9153258914,burnett,attributable
2005,us,White,Not Hispanic or Latino,F,666,wonder,YLL,crude rate,2145.96533995771,2145.96533995771,2145.96533995771,burnett,attributable
2005,us,White,Not Hispanic or Latino,M,666,wonder,Deaths,absolute number,113930.20726168,113930.20726168,113930.20726168,burnett,attributable
2005,us,White,Not Hispanic or Latino,M,666,wonder,Deaths,age-adjusted rate,1141.40588081738,1141.40588081738,1141.40588081738,burnett,attributable
2005,us,White,Not Hispanic or Latino,M,666,wonder,Deaths,crude rate,116.759883026836,116.759883026836,116.759883026836,burnett,attributable
2005,us,White,Not Hispanic or Latino,M,666,wonder,YLL,absolute number,2652008.67089239,2652008.67089239,2652008.67089239,burnett,attributable
2005,us,White,Not Hispanic or Latino,M,666,wonder,YLL,age-adjusted rate,28060.8884820379,28060.8884820379,28060.8884820379,burnett,attributable
2005,us,White,Not Hispanic or Latino,M,666,wonder,YLL,crude rate,2717.87640558166,2717.87640558166,2717.87640558166,burnett,attributable
