Year,nation,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,label_cause,lower,mean,upper,method,attr
2006,us,Black or African American,All Origins,A,666,wonder,Deaths,absolute number,,36587.2184548698,36587.2184548698,36587.2184548698,burnett,attributable
2006,us,Black or African American,All Origins,A,666,wonder,Deaths,age-adjusted rate,,1312.2756570421,1312.2756570421,1312.2756570421,burnett,attributable
2006,us,Black or African American,All Origins,A,666,wonder,Deaths,crude rate,,91.7959711799199,91.7959711799199,91.7959711799199,burnett,attributable
2006,us,Black or African American,All Origins,A,666,wonder,YLL,absolute number,,1087079.21979041,1087079.21979041,1087079.21979041,burnett,attributable
2006,us,Black or African American,All Origins,A,666,wonder,YLL,age-adjusted rate,,34610.2345215655,34610.2345215655,34610.2345215655,burnett,attributable
2006,us,Black or African American,All Origins,A,666,wonder,YLL,crude rate,,2727.44135641961,2727.44135641961,2727.44135641961,burnett,attributable
2006,us,Black or African American,All Origins,F,666,wonder,Deaths,absolute number,,17963.9277287012,17963.9277287012,17963.9277287012,burnett,attributable
2006,us,Black or African American,All Origins,F,666,wonder,Deaths,age-adjusted rate,,1053.81554977381,1053.81554977381,1053.81554977381,burnett,attributable
2006,us,Black or African American,All Origins,F,666,wonder,Deaths,crude rate,,86.1973336141072,86.1973336141072,86.1973336141072,burnett,attributable
2006,us,Black or African American,All Origins,F,666,wonder,YLL,absolute number,,470145.187003983,470145.187003983,470145.187003983,burnett,attributable
2006,us,Black or African American,All Origins,F,666,wonder,YLL,age-adjusted rate,,26707.9870194929,26707.9870194929,26707.9870194929,burnett,attributable
2006,us,Black or African American,All Origins,F,666,wonder,YLL,crude rate,,2255.92432475117,2255.92432475117,2255.92432475117,burnett,attributable
2006,us,Black or African American,All Origins,M,666,wonder,Deaths,absolute number,,18609.0003809312,18609.0003809312,18609.0003809312,burnett,attributable
2006,us,Black or African American,All Origins,M,666,wonder,Deaths,age-adjusted rate,,1671.77712708836,1671.77712708836,1671.77712708836,burnett,attributable
2006,us,Black or African American,All Origins,M,666,wonder,Deaths,crude rate,,97.8564108038817,97.8564108038817,97.8564108038817,burnett,attributable
2006,us,Black or African American,All Origins,M,666,wonder,YLL,absolute number,,615811.031606753,615811.031606753,615811.031606753,burnett,attributable
2006,us,Black or African American,All Origins,M,666,wonder,YLL,age-adjusted rate,,44601.807444504,44601.807444504,44601.807444504,burnett,attributable
2006,us,Black or African American,All Origins,M,666,wonder,YLL,crude rate,,3238.27481610579,3238.27481610579,3238.27481610579,burnett,attributable
2006,us,White,Hispanic or Latino,A,666,wonder,Deaths,absolute number,,14864.6740514244,14864.6740514244,14864.6740514244,burnett,attributable
2006,us,White,Hispanic or Latino,A,666,wonder,Deaths,age-adjusted rate,,716.891036936063,716.891036936063,716.891036936063,burnett,attributable
2006,us,White,Hispanic or Latino,A,666,wonder,Deaths,crude rate,,36.6081019863363,36.6081019863363,36.6081019863363,burnett,attributable
2006,us,White,Hispanic or Latino,A,666,wonder,YLL,absolute number,,467242.632584577,467242.632584577,467242.632584577,burnett,attributable
2006,us,White,Hispanic or Latino,A,666,wonder,YLL,age-adjusted rate,,17706.4293441043,17706.4293441043,17706.4293441043,burnett,attributable
2006,us,White,Hispanic or Latino,A,666,wonder,YLL,crude rate,,1150.70575290424,1150.70575290424,1150.70575290424,burnett,attributable
2006,us,White,Hispanic or Latino,F,666,wonder,Deaths,absolute number,,6590.19359329913,6590.19359329913,6590.19359329913,burnett,attributable
2006,us,White,Hispanic or Latino,F,666,wonder,Deaths,age-adjusted rate,,565.239573342095,565.239573342095,565.239573342095,burnett,attributable
2006,us,White,Hispanic or Latino,F,666,wonder,Deaths,crude rate,,33.2171904611657,33.2171904611657,33.2171904611657,burnett,attributable
2006,us,White,Hispanic or Latino,F,666,wonder,YLL,absolute number,,176432.328554419,176432.328554419,176432.328554419,burnett,attributable
2006,us,White,Hispanic or Latino,F,666,wonder,YLL,age-adjusted rate,,13076.8645945834,13076.8645945834,13076.8645945834,burnett,attributable
2006,us,White,Hispanic or Latino,F,666,wonder,YLL,crude rate,,889.288937893737,889.288937893737,889.288937893737,burnett,attributable
2006,us,White,Hispanic or Latino,M,666,wonder,Deaths,absolute number,,8274.55682172591,8274.55682172591,8274.55682172591,burnett,attributable
2006,us,White,Hispanic or Latino,M,666,wonder,Deaths,age-adjusted rate,,901.628310105935,901.628310105935,901.628310105935,burnett,attributable
2006,us,White,Hispanic or Latino,M,666,wonder,Deaths,crude rate,,39.8482555990324,39.8482555990324,39.8482555990324,burnett,attributable
2006,us,White,Hispanic or Latino,M,666,wonder,YLL,absolute number,,290815.664861204,290815.664861204,290815.664861204,burnett,attributable
2006,us,White,Hispanic or Latino,M,666,wonder,YLL,age-adjusted rate,,22840.2568366903,22840.2568366903,22840.2568366903,burnett,attributable
2006,us,White,Hispanic or Latino,M,666,wonder,YLL,crude rate,,1400.49759706341,1400.49759706341,1400.49759706341,burnett,attributable
2006,us,White,Not Hispanic or Latino,A,666,wonder,Deaths,absolute number,,213692.08485076,213692.08485076,213692.08485076,burnett,attributable
2006,us,White,Not Hispanic or Latino,A,666,wonder,Deaths,age-adjusted rate,,835.103195657885,835.103195657885,835.103195657885,burnett,attributable
2006,us,White,Not Hispanic or Latino,A,666,wonder,Deaths,crude rate,,107.274929739979,107.274929739979,107.274929739979,burnett,attributable
2006,us,White,Not Hispanic or Latino,A,666,wonder,YLL,absolute number,,4393221.95896022,4393221.95896022,4393221.95896022,burnett,attributable
2006,us,White,Not Hispanic or Latino,A,666,wonder,YLL,age-adjusted rate,,20365.4733307234,20365.4733307234,20365.4733307234,burnett,attributable
2006,us,White,Not Hispanic or Latino,A,666,wonder,YLL,crude rate,,2205.42832603617,2205.42832603617,2205.42832603617,burnett,attributable
