Year,STATEFP,Race,Hispanic.Origin,Gender.Code,Education,source,measure1,measure2,lower,mean,upper,attr,method
2004,4,White,Hispanic or Latino,M,666,wonder,Deaths,crude rate,7.86475627830536,8.08629870868016,8.30784113905496,attributable,DI
2004,4,White,Hispanic or Latino,M,666,wonder,YLL,absolute number,2222.95354191908,2285.5719515506,2348.19036118212,attributable,DI
2004,4,White,Hispanic or Latino,M,666,wonder,YLL,age-adjusted rate,927.484129507743,953.610443015003,979.736756522263,attributable,DI
2004,4,White,Hispanic or Latino,M,666,wonder,YLL,crude rate,300.858953605995,309.333853707572,317.808753809149,attributable,DI
2004,4,White,Not Hispanic or Latino,A,666,wonder,Deaths,absolute number,626.23548615872,643.875922388543,661.516358618366,attributable,DI
2004,4,White,Not Hispanic or Latino,A,666,wonder,Deaths,age-adjusted rate,23.9767881625294,24.6521906459809,25.3275931294324,attributable,DI
2004,4,White,Not Hispanic or Latino,A,666,wonder,Deaths,crude rate,17.786804091208,18.2878408261716,18.7888775611352,attributable,DI
2004,4,White,Not Hispanic or Latino,A,666,wonder,YLL,absolute number,13243.4162790333,13616.4702587244,13989.5242384155,attributable,DI
2004,4,White,Not Hispanic or Latino,A,666,wonder,YLL,age-adjusted rate,614.18743945418,631.488494086692,648.789548719204,attributable,DI
2004,4,White,Not Hispanic or Latino,A,666,wonder,YLL,crude rate,376.149317724511,386.745073153371,397.34082858223,attributable,DI
2004,4,White,Not Hispanic or Latino,F,666,wonder,Deaths,absolute number,306.247312896112,314.873997766425,323.500682636738,attributable,DI
2004,4,White,Not Hispanic or Latino,F,666,wonder,Deaths,age-adjusted rate,19.7661711395685,20.3229646927958,20.879758246023,attributable,DI
2004,4,White,Not Hispanic or Latino,F,666,wonder,Deaths,crude rate,17.1594711808628,17.6428365662392,18.1262019516157,attributable,DI
2004,4,White,Not Hispanic or Latino,F,666,wonder,YLL,absolute number,5733.09618937738,5894.59185668379,6056.08752399019,attributable,DI
2004,4,White,Not Hispanic or Latino,F,666,wonder,YLL,age-adjusted rate,477.73967848067,491.19713421252,504.65458994437,attributable,DI
2004,4,White,Not Hispanic or Latino,F,666,wonder,YLL,crude rate,321.233508658108,330.282339887914,339.33117111772,attributable,DI
2004,4,White,Not Hispanic or Latino,M,666,wonder,Deaths,absolute number,319.784540096028,328.79255531,337.800570523973,attributable,DI
2004,4,White,Not Hispanic or Latino,M,666,wonder,Deaths,age-adjusted rate,28.567721507087,29.3724460565824,30.1771706060779,attributable,DI
2004,4,White,Not Hispanic or Latino,M,666,wonder,Deaths,crude rate,18.4199832550933,18.9388560228424,19.4577287905915,attributable,DI
2004,4,White,Not Hispanic or Latino,M,666,wonder,YLL,absolute number,7494.80247187576,7705.92366826662,7917.04486465749,attributable,DI
2004,4,White,Not Hispanic or Latino,M,666,wonder,YLL,age-adjusted rate,757.000263323346,778.324214402877,799.648165482408,attributable,DI
2004,4,White,Not Hispanic or Latino,M,666,wonder,YLL,crude rate,431.70985060981,443.870691472059,456.031532334307,attributable,DI
2004,5,Black or African American,All Origins,A,666,wonder,Deaths,absolute number,172.286856202991,177.140007081948,181.993157960905,attributable,DI
2004,5,Black or African American,All Origins,A,666,wonder,Deaths,age-adjusted rate,100.083984806673,102.903251984325,105.722519161978,attributable,DI
2004,5,Black or African American,All Origins,A,666,wonder,Deaths,crude rate,39.2710607877128,40.3772878521554,41.483514916598,attributable,DI
2004,5,Black or African American,All Origins,A,666,wonder,YLL,absolute number,5020.89091840008,5162.32446539727,5303.75801239446,attributable,DI
2004,5,Black or African American,All Origins,A,666,wonder,YLL,age-adjusted rate,2801.05345996018,2879.95637432526,2958.85928869033,attributable,DI
2004,5,Black or African American,All Origins,A,666,wonder,YLL,crude rate,1144.4617239556,1176.70008237688,1208.93844079817,attributable,DI
2004,5,Black or African American,All Origins,F,666,wonder,Deaths,absolute number,84.9221728466052,87.3143467296082,89.7065206126112,attributable,DI
2004,5,Black or African American,All Origins,F,666,wonder,Deaths,age-adjusted rate,79.7592393219919,82.0059784578227,84.2527175936534,attributable,DI
2004,5,Black or African American,All Origins,F,666,wonder,Deaths,crude rate,36.7658694206905,37.8015277142311,38.8371860077717,attributable,DI
2004,5,Black or African American,All Origins,F,666,wonder,YLL,absolute number,2149.84795581555,2210.40705316246,2270.96615050938,attributable,DI
2004,5,Black or African American,All Origins,F,666,wonder,YLL,age-adjusted rate,2138.89660645412,2199.14721508663,2259.39782371914,attributable,DI
2004,5,Black or African American,All Origins,F,666,wonder,YLL,crude rate,930.746665663214,956.964881597389,983.183097531564,attributable,DI
2004,5,Black or African American,All Origins,M,666,wonder,Deaths,absolute number,86.3909656436553,88.8245139716456,91.2580622996358,attributable,DI
2004,5,Black or African American,All Origins,M,666,wonder,Deaths,age-adjusted rate,127.625486764167,131.220570898369,134.815655032571,attributable,DI
2004,5,Black or African American,All Origins,M,666,wonder,Deaths,crude rate,41.5879024525253,42.7593926624556,43.9308828723859,attributable,DI
2004,5,Black or African American,All Origins,M,666,wonder,YLL,absolute number,2820.35137642232,2899.79789406802,2979.24441171372,attributable,DI
2004,5,Black or African American,All Origins,M,666,wonder,YLL,age-adjusted rate,3600.27410740981,3701.69027944952,3803.10645148923,attributable,DI
