"FIPS.code","rural_urban_class","fromYear"
16079,5,2000
16009,5,1990
16057,5,1990
16079,5,1990
16057,5,2010
16059,6,2000
16037,6,2000
16037,6,1990
16059,6,1990
16059,6,2010
16043,5,2000
16065,5,2000
16043,5,1990
16065,5,1990
16065,5,2010
16067,5,2000
16067,5,1990
16067,5,2010
16069,4,2000
16069,4,1990
16069,4,2010
16071,6,2000
16071,6,1990
16071,6,2010
16073,3,2000
16073,3,1990
16073,3,2010
16075,5,2000
16075,5,1990
16075,5,2010
16083,5,2000
16039,5,2000
16039,5,1990
16083,5,1990
16083,5,2010
16085,6,2000
16085,6,1990
16085,6,2010
16087,6,2000
16087,6,1990
16087,6,2010
17001,5,2000
17067,5,2000
17001,5,1990
17067,5,1990
17001,5,2010
17003,4,2000
17003,4,1990
17003,4,2010
17007,3,2000
17007,3,1990
17007,3,2010
17009,6,2000
17009,6,1990
17009,6,2010
17011,5,2000
17011,5,1990
17011,5,2010
17013,2,2000
17013,2,1990
17013,2,2010
17017,6,2000
17017,6,1990
17017,6,2010
17019,4,2000
17019,4,1990
17019,4,2010
17023,6,2000
17023,6,1990
17023,6,2010
17025,6,2000
17025,6,1990
17025,6,2010
17029,5,2000
17029,5,1990
17029,5,2010
17031,1,2000
17043,1,2000
17197,1,2000
17031,1,1990
17043,1,1990
17197,1,1990
17031,1,2010
17033,6,2000
17033,6,1990
17033,6,2010
17035,5,2000
17035,5,1990
17035,5,2010
17037,2,2000
17141,2,2000
17037,2,1990
17141,2,1990
17037,2,2010
17039,4,2000
17039,4,1990
17039,4,2010
17041,6,2000
17041,6,1990
17041,6,2010
17045,6,2000
17045,6,1990
17045,6,2010
17049,5,2000
17049,5,1990
17049,5,2010
17051,6,2000
17051,6,1990
17051,6,2010
17055,6,2000
17081,6,2000
17055,6,1990
17081,6,1990
17055,6,2010
17057,5,2000
17057,5,1990
17057,5,2010
17059,6,2000
17059,6,1990
17059,6,2010
17061,6,2000
17061,6,1990
17061,6,2010
17069,6,2000
17069,6,1990
17069,6,2010
17071,5,2000
17071,5,1990
17071,5,2010
17075,6,2000
17053,6,2000
17053,6,1990
17075,6,1990
17075,6,2010
17077,4,2000
17145,4,2000
17077,4,1990
17145,4,1990
17077,4,2010
17079,6,2000
17079,6,1990
17079,6,2010
17085,6,2000
17085,6,1990
17085,6,2010
17089,2,2000
17089,2,1990
17089,2,2010
17091,4,2000
17091,4,1990
17091,4,2010
17093,2,2000
17093,2,1990
17093,2,2010
17095,5,2000
17095,5,1990
17095,5,2010
17097,2,2000
17111,2,2000
17097,2,1990
17111,2,1990
17097,2,2010
17099,5,2000
17123,5,2000
