Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,nation,rural_urban_class,label_cause,attr,Deaths,Education,source
2009,A,White,39,39,Not Hispanic or Latino,us,666,t2_dm,total,6,666,nvss
2009,A,White,40,40,Hispanic or Latino,us,666,all-cause,overall,865,666,nvss
2009,A,White,40,40,Hispanic or Latino,us,666,cvd_ihd,total,47,666,nvss
2009,A,White,40,40,Hispanic or Latino,us,666,cvd_stroke,total,12,666,nvss
2009,A,White,40,40,Hispanic or Latino,us,666,lri,total,12,666,nvss
2009,A,White,40,40,Hispanic or Latino,us,666,ncd_lri,total,517,666,nvss
2009,A,White,40,40,Hispanic or Latino,us,666,neo_lung,total,10,666,nvss
2009,A,White,40,40,Hispanic or Latino,us,666,resp_copd,total,3,666,nvss
2009,A,White,40,40,Hispanic or Latino,us,666,t2_dm,total,4,666,nvss
2009,A,White,40,40,Not Hispanic or Latino,us,666,all-cause,overall,4810,666,nvss
2009,A,White,40,40,Not Hispanic or Latino,us,666,cvd_ihd,total,419,666,nvss
2009,A,White,40,40,Not Hispanic or Latino,us,666,cvd_stroke,total,52,666,nvss
2009,A,White,40,40,Not Hispanic or Latino,us,666,lri,total,28,666,nvss
2009,A,White,40,40,Not Hispanic or Latino,us,666,ncd_lri,total,2615,666,nvss
2009,A,White,40,40,Not Hispanic or Latino,us,666,neo_lung,total,96,666,nvss
2009,A,White,40,40,Not Hispanic or Latino,us,666,resp_copd,total,31,666,nvss
2009,A,White,40,40,Not Hispanic or Latino,us,666,t2_dm,total,12,666,nvss
2009,A,White,41,41,Hispanic or Latino,us,666,all-cause,overall,885,666,nvss
2009,A,White,41,41,Hispanic or Latino,us,666,cvd_ihd,total,58,666,nvss
2009,A,White,41,41,Hispanic or Latino,us,666,cvd_stroke,total,14,666,nvss
2009,A,White,41,41,Hispanic or Latino,us,666,lri,total,13,666,nvss
2009,A,White,41,41,Hispanic or Latino,us,666,ncd_lri,total,532,666,nvss
2009,A,White,41,41,Hispanic or Latino,us,666,neo_lung,total,10,666,nvss
2009,A,White,41,41,Hispanic or Latino,us,666,resp_copd,total,3,666,nvss
2009,A,White,41,41,Hispanic or Latino,us,666,t2_dm,total,3,666,nvss
2009,A,White,41,41,Not Hispanic or Latino,us,666,all-cause,overall,5256,666,nvss
2009,A,White,41,41,Not Hispanic or Latino,us,666,cvd_ihd,total,429,666,nvss
2009,A,White,41,41,Not Hispanic or Latino,us,666,cvd_stroke,total,55,666,nvss
2009,A,White,41,41,Not Hispanic or Latino,us,666,lri,total,34,666,nvss
2009,A,White,41,41,Not Hispanic or Latino,us,666,ncd_lri,total,3022,666,nvss
2009,A,White,41,41,Not Hispanic or Latino,us,666,neo_lung,total,145,666,nvss
2009,A,White,41,41,Not Hispanic or Latino,us,666,resp_copd,total,33,666,nvss
2009,A,White,41,41,Not Hispanic or Latino,us,666,t2_dm,total,15,666,nvss
2009,A,White,42,42,Hispanic or Latino,us,666,all-cause,overall,962,666,nvss
2009,A,White,42,42,Hispanic or Latino,us,666,cvd_ihd,total,72,666,nvss
2009,A,White,42,42,Hispanic or Latino,us,666,cvd_stroke,total,18,666,nvss
2009,A,White,42,42,Hispanic or Latino,us,666,lri,total,15,666,nvss
2009,A,White,42,42,Hispanic or Latino,us,666,ncd_lri,total,578,666,nvss
2009,A,White,42,42,Hispanic or Latino,us,666,neo_lung,total,13,666,nvss
2009,A,White,42,42,Hispanic or Latino,us,666,resp_copd,total,3,666,nvss
2009,A,White,42,42,Hispanic or Latino,us,666,t2_dm,total,3,666,nvss
2009,A,White,42,42,Not Hispanic or Latino,us,666,all-cause,overall,5631,666,nvss
2009,A,White,42,42,Not Hispanic or Latino,us,666,cvd_ihd,total,509,666,nvss
2009,A,White,42,42,Not Hispanic or Latino,us,666,cvd_stroke,total,55,666,nvss
2009,A,White,42,42,Not Hispanic or Latino,us,666,lri,total,27,666,nvss
2009,A,White,42,42,Not Hispanic or Latino,us,666,ncd_lri,total,3344,666,nvss
2009,A,White,42,42,Not Hispanic or Latino,us,666,neo_lung,total,153,666,nvss
2009,A,White,42,42,Not Hispanic or Latino,us,666,resp_copd,total,50,666,nvss
2009,A,White,42,42,Not Hispanic or Latino,us,666,t2_dm,total,10,666,nvss
2009,A,White,43,43,Hispanic or Latino,us,666,all-cause,overall,1039,666,nvss
2009,A,White,43,43,Hispanic or Latino,us,666,cvd_ihd,total,63,666,nvss
2009,A,White,43,43,Hispanic or Latino,us,666,cvd_stroke,total,24,666,nvss
2009,A,White,43,43,Hispanic or Latino,us,666,lri,total,15,666,nvss
2009,A,White,43,43,Hispanic or Latino,us,666,ncd_lri,total,659,666,nvss
2009,A,White,43,43,Hispanic or Latino,us,666,neo_lung,total,18,666,nvss
2009,A,White,43,43,Hispanic or Latino,us,666,resp_copd,total,5,666,nvss
2009,A,White,43,43,Hispanic or Latino,us,666,t2_dm,total,9,666,nvss
2009,A,White,43,43,Not Hispanic or Latino,us,666,all-cause,overall,6290,666,nvss
2009,A,White,43,43,Not Hispanic or Latino,us,666,cvd_ihd,total,569,666,nvss
2009,A,White,43,43,Not Hispanic or Latino,us,666,cvd_stroke,total,81,666,nvss
2009,A,White,43,43,Not Hispanic or Latino,us,666,lri,total,33,666,nvss
2009,A,White,43,43,Not Hispanic or Latino,us,666,ncd_lri,total,3776,666,nvss
2009,A,White,43,43,Not Hispanic or Latino,us,666,neo_lung,total,215,666,nvss
2009,A,White,43,43,Not Hispanic or Latino,us,666,resp_copd,total,59,666,nvss
2009,A,White,43,43,Not Hispanic or Latino,us,666,t2_dm,total,18,666,nvss
2009,A,White,44,44,Hispanic or Latino,us,666,all-cause,overall,1102,666,nvss
2009,A,White,44,44,Hispanic or Latino,us,666,cvd_ihd,total,75,666,nvss
2009,A,White,44,44,Hispanic or Latino,us,666,cvd_stroke,total,14,666,nvss
2009,A,White,44,44,Hispanic or Latino,us,666,lri,total,14,666,nvss
2009,A,White,44,44,Hispanic or Latino,us,666,ncd_lri,total,694,666,nvss
2009,A,White,44,44,Hispanic or Latino,us,666,neo_lung,total,10,666,nvss
2009,A,White,44,44,Hispanic or Latino,us,666,resp_copd,total,4,666,nvss
2009,A,White,44,44,Hispanic or Latino,us,666,t2_dm,total,7,666,nvss
2009,A,White,44,44,Not Hispanic or Latino,us,666,all-cause,overall,7537,666,nvss
2009,A,White,44,44,Not Hispanic or Latino,us,666,cvd_ihd,total,759,666,nvss
2009,A,White,44,44,Not Hispanic or Latino,us,666,cvd_stroke,total,92,666,nvss
2009,A,White,44,44,Not Hispanic or Latino,us,666,lri,total,44,666,nvss
2009,A,White,44,44,Not Hispanic or Latino,us,666,ncd_lri,total,4733,666,nvss
2009,A,White,44,44,Not Hispanic or Latino,us,666,neo_lung,total,284,666,nvss
2009,A,White,44,44,Not Hispanic or Latino,us,666,resp_copd,total,88,666,nvss
2009,A,White,44,44,Not Hispanic or Latino,us,666,t2_dm,total,16,666,nvss
2009,A,White,45,45,Hispanic or Latino,us,666,all-cause,overall,1210,666,nvss
2009,A,White,45,45,Hispanic or Latino,us,666,cvd_ihd,total,98,666,nvss
2009,A,White,45,45,Hispanic or Latino,us,666,cvd_stroke,total,36,666,nvss
2009,A,White,45,45,Hispanic or Latino,us,666,lri,total,19,666,nvss
2009,A,White,45,45,Hispanic or Latino,us,666,ncd_lri,total,793,666,nvss
2009,A,White,45,45,Hispanic or Latino,us,666,neo_lung,total,23,666,nvss
2009,A,White,45,45,Hispanic or Latino,us,666,resp_copd,total,5,666,nvss
2009,A,White,45,45,Hispanic or Latino,us,666,t2_dm,total,4,666,nvss
2009,A,White,45,45,Not Hispanic or Latino,us,666,all-cause,overall,8511,666,nvss
2009,A,White,45,45,Not Hispanic or Latino,us,666,cvd_ihd,total,911,666,nvss
2009,A,White,45,45,Not Hispanic or Latino,us,666,cvd_stroke,total,123,666,nvss
2009,A,White,45,45,Not Hispanic or Latino,us,666,lri,total,41,666,nvss
2009,A,White,45,45,Not Hispanic or Latino,us,666,ncd_lri,total,5625,666,nvss
2009,A,White,45,45,Not Hispanic or Latino,us,666,neo_lung,total,409,666,nvss
2009,A,White,45,45,Not Hispanic or Latino,us,666,resp_copd,total,122,666,nvss
2009,A,White,45,45,Not Hispanic or Latino,us,666,t2_dm,total,29,666,nvss
2009,A,White,46,46,Hispanic or Latino,us,666,all-cause,overall,1274,666,nvss
2009,A,White,46,46,Hispanic or Latino,us,666,cvd_ihd,total,124,666,nvss
2009,A,White,46,46,Hispanic or Latino,us,666,cvd_stroke,total,28,666,nvss
2009,A,White,46,46,Hispanic or Latino,us,666,lri,total,11,666,nvss
