"Year","replacecolumns","from","to"
2000,"label_cause","I621","cvd_stroke"
2001,"label_cause","I621","cvd_stroke"
2002,"label_cause","I621","cvd_stroke"
2003,"label_cause","I621","cvd_stroke"
2000,"label_cause","I631","cvd_stroke"
2001,"label_cause","I631","cvd_stroke"
2002,"label_cause","I631","cvd_stroke"
2003,"label_cause","I631","cvd_stroke"
2000,"label_cause","I651","cvd_stroke"
2001,"label_cause","I651","cvd_stroke"
2002,"label_cause","I651","cvd_stroke"
2003,"label_cause","I651","cvd_stroke"
2000,"label_cause","I661","cvd_stroke"
2001,"label_cause","I661","cvd_stroke"
2002,"label_cause","I661","cvd_stroke"
2003,"label_cause","I661","cvd_stroke"
2000,"label_cause","I671","cvd_stroke"
2001,"label_cause","I671","cvd_stroke"
2002,"label_cause","I671","cvd_stroke"
2003,"label_cause","I671","cvd_stroke"
2000,"label_cause","I681","cvd_stroke"
2001,"label_cause","I681","cvd_stroke"
2002,"label_cause","I681","cvd_stroke"
2003,"label_cause","I681","cvd_stroke"
2000,"label_cause","I691","cvd_stroke"
2001,"label_cause","I691","cvd_stroke"
2002,"label_cause","I691","cvd_stroke"
2003,"label_cause","I691","cvd_stroke"
2000,"label_cause","C331","neo_lung"
2001,"label_cause","C331","neo_lung"
2002,"label_cause","C331","neo_lung"
2003,"label_cause","C331","neo_lung"
2000,"label_cause","C341","neo_lung"
2001,"label_cause","C341","neo_lung"
2002,"label_cause","C341","neo_lung"
2003,"label_cause","C341","neo_lung"
2000,"label_cause","D021","neo_lung"
2001,"label_cause","D021","neo_lung"
2002,"label_cause","D021","neo_lung"
2003,"label_cause","D021","neo_lung"
2000,"label_cause","D141","neo_lung"
2001,"label_cause","D141","neo_lung"
2002,"label_cause","D141","neo_lung"
2003,"label_cause","D141","neo_lung"
2000,"label_cause","D381","neo_lung"
2001,"label_cause","D381","neo_lung"
2002,"label_cause","D381","neo_lung"
2003,"label_cause","D381","neo_lung"
2000,"label_cause","J411","resp_copd"
2001,"label_cause","J411","resp_copd"
2002,"label_cause","J411","resp_copd"
2003,"label_cause","J411","resp_copd"
2000,"label_cause","J421","resp_copd"
2001,"label_cause","J421","resp_copd"
2002,"label_cause","J421","resp_copd"
2003,"label_cause","J421","resp_copd"
2000,"label_cause","J431","resp_copd"
2001,"label_cause","J431","resp_copd"
2002,"label_cause","J431","resp_copd"
2003,"label_cause","J431","resp_copd"
2000,"label_cause","J441","resp_copd"
2001,"label_cause","J441","resp_copd"
2002,"label_cause","J441","resp_copd"
2003,"label_cause","J441","resp_copd"
2000,"label_cause","A481","resp_copd"
2001,"label_cause","A481","resp_copd"
2002,"label_cause","A481","resp_copd"
2003,"label_cause","A481","resp_copd"
2000,"label_cause","A701","resp_copd"
2001,"label_cause","A701","resp_copd"
2002,"label_cause","A701","resp_copd"
2003,"label_cause","A701","resp_copd"
2000,"label_cause","B971","resp_copd"
2001,"label_cause","B971","resp_copd"
2002,"label_cause","B971","resp_copd"
2003,"label_cause","B971","resp_copd"
2000,"label_cause","J091","resp_copd"
2001,"label_cause","J091","resp_copd"
2002,"label_cause","J091","resp_copd"
2003,"label_cause","J091","resp_copd"
2000,"label_cause","J101","resp_copd"
2001,"label_cause","J101","resp_copd"
2002,"label_cause","J101","resp_copd"
2003,"label_cause","J101","resp_copd"
2000,"label_cause","J111","resp_copd"
2001,"label_cause","J111","resp_copd"
2002,"label_cause","J111","resp_copd"
2003,"label_cause","J111","resp_copd"
2000,"label_cause","J121","resp_copd"
2001,"label_cause","J121","resp_copd"
2002,"label_cause","J121","resp_copd"
2003,"label_cause","J121","resp_copd"
2000,"label_cause","J131","resp_copd"
2001,"label_cause","J131","resp_copd"
2002,"label_cause","J131","resp_copd"
2003,"label_cause","J131","resp_copd"
2000,"label_cause","J141","resp_copd"
2001,"label_cause","J141","resp_copd"
2002,"label_cause","J141","resp_copd"
2003,"label_cause","J141","resp_copd"
2000,"label_cause","J151","resp_copd"
2001,"label_cause","J151","resp_copd"
2002,"label_cause","J151","resp_copd"
2003,"label_cause","J151","resp_copd"
2000,"label_cause","J161","resp_copd"
2001,"label_cause","J161","resp_copd"
2002,"label_cause","J161","resp_copd"
2003,"label_cause","J161","resp_copd"
2000,"label_cause","J201","resp_copd"
2001,"label_cause","J201","resp_copd"
2002,"label_cause","J201","resp_copd"
2003,"label_cause","J201","resp_copd"
2000,"label_cause","J211","resp_copd"
2001,"label_cause","J211","resp_copd"
2002,"label_cause","J211","resp_copd"
2003,"label_cause","J211","resp_copd"
2000,"label_cause","P231","resp_copd"
2001,"label_cause","P231","resp_copd"
2002,"label_cause","P231","resp_copd"
2003,"label_cause","P231","resp_copd"
2000,"label_cause","U041","resp_copd"
2001,"label_cause","U041","resp_copd"
2002,"label_cause","U041","resp_copd"
2003,"label_cause","U041","resp_copd"
2000,"label_cause","E111","t2_dm"
2001,"label_cause","E111","t2_dm"
2002,"label_cause","E111","t2_dm"
2003,"label_cause","E111","t2_dm"
2000,"label_cause","I202","cvd_ihd"
2001,"label_cause","I202","cvd_ihd"
2002,"label_cause","I202","cvd_ihd"
2003,"label_cause","I202","cvd_ihd"
2000,"label_cause","I212","cvd_ihd"
2001,"label_cause","I212","cvd_ihd"
2002,"label_cause","I212","cvd_ihd"
2003,"label_cause","I212","cvd_ihd"
2000,"label_cause","I222","cvd_ihd"
2001,"label_cause","I222","cvd_ihd"
2002,"label_cause","I222","cvd_ihd"
2003,"label_cause","I222","cvd_ihd"
2000,"label_cause","I232","cvd_ihd"
2001,"label_cause","I232","cvd_ihd"
2002,"label_cause","I232","cvd_ihd"
2003,"label_cause","I232","cvd_ihd"
2000,"label_cause","I242","cvd_ihd"
2001,"label_cause","I242","cvd_ihd"
2002,"label_cause","I242","cvd_ihd"
2003,"label_cause","I242","cvd_ihd"
2000,"label_cause","I252","cvd_ihd"
2001,"label_cause","I252","cvd_ihd"
2002,"label_cause","I252","cvd_ihd"
2003,"label_cause","I252","cvd_ihd"
2000,"label_cause","G452","cvd_stroke"
2001,"label_cause","G452","cvd_stroke"
2002,"label_cause","G452","cvd_stroke"
2003,"label_cause","G452","cvd_stroke"
2000,"label_cause","G462","cvd_stroke"
2001,"label_cause","G462","cvd_stroke"
2002,"label_cause","G462","cvd_stroke"
2003,"label_cause","G462","cvd_stroke"
2000,"label_cause","I612","cvd_stroke"
2001,"label_cause","I612","cvd_stroke"
2002,"label_cause","I612","cvd_stroke"
2003,"label_cause","I612","cvd_stroke"
2000,"label_cause","I622","cvd_stroke"
2001,"label_cause","I622","cvd_stroke"
2002,"label_cause","I622","cvd_stroke"
2003,"label_cause","I622","cvd_stroke"
2000,"label_cause","I632","cvd_stroke"
2001,"label_cause","I632","cvd_stroke"
2002,"label_cause","I632","cvd_stroke"
2003,"label_cause","I632","cvd_stroke"
2000,"label_cause","I652","cvd_stroke"
2001,"label_cause","I652","cvd_stroke"
2002,"label_cause","I652","cvd_stroke"
2003,"label_cause","I652","cvd_stroke"
2000,"label_cause","I662","cvd_stroke"
2001,"label_cause","I662","cvd_stroke"
2002,"label_cause","I662","cvd_stroke"
2003,"label_cause","I662","cvd_stroke"
2000,"label_cause","I672","cvd_stroke"
2001,"label_cause","I672","cvd_stroke"
2002,"label_cause","I672","cvd_stroke"
2003,"label_cause","I672","cvd_stroke"
2000,"label_cause","I682","cvd_stroke"
2001,"label_cause","I682","cvd_stroke"
2002,"label_cause","I682","cvd_stroke"
2003,"label_cause","I682","cvd_stroke"
2000,"label_cause","I692","cvd_stroke"
2001,"label_cause","I692","cvd_stroke"
2002,"label_cause","I692","cvd_stroke"
2003,"label_cause","I692","cvd_stroke"
2000,"label_cause","C332","neo_lung"
2001,"label_cause","C332","neo_lung"
2002,"label_cause","C332","neo_lung"
2003,"label_cause","C332","neo_lung"
2000,"label_cause","C342","neo_lung"
2001,"label_cause","C342","neo_lung"
2002,"label_cause","C342","neo_lung"
2003,"label_cause","C342","neo_lung"
2000,"label_cause","D022","neo_lung"
2001,"label_cause","D022","neo_lung"
2002,"label_cause","D022","neo_lung"
2003,"label_cause","D022","neo_lung"
2000,"label_cause","D142","neo_lung"
2001,"label_cause","D142","neo_lung"
2002,"label_cause","D142","neo_lung"
2003,"label_cause","D142","neo_lung"
2000,"label_cause","D382","neo_lung"
2001,"label_cause","D382","neo_lung"
2002,"label_cause","D382","neo_lung"
2003,"label_cause","D382","neo_lung"
2000,"label_cause","J412","resp_copd"
2001,"label_cause","J412","resp_copd"
2002,"label_cause","J412","resp_copd"
2003,"label_cause","J412","resp_copd"
2000,"label_cause","J422","resp_copd"
2001,"label_cause","J422","resp_copd"
2002,"label_cause","J422","resp_copd"
2003,"label_cause","J422","resp_copd"
2000,"label_cause","J432","resp_copd"
2001,"label_cause","J432","resp_copd"
2002,"label_cause","J432","resp_copd"
2003,"label_cause","J432","resp_copd"
2000,"label_cause","J442","resp_copd"
2001,"label_cause","J442","resp_copd"
2002,"label_cause","J442","resp_copd"
2003,"label_cause","J442","resp_copd"
2000,"label_cause","A482","resp_copd"
