Year,Region,Ethnicity,Gender.Code,Education,rural_urban_class,source,measure1,measure2,scenario,lower,mean,upper,method,attr,min_age,max_age,agr_by,measure3
1990,United States,"White, All Origins",All genders,666,small-medium metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,36.2326083225302,147.662359749991,288.308014309312,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,small-medium metro,National Vital Statistics System,YLL,absolute number,A,299925.993542013,1222318.29302875,2386553.76030646,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,small-medium metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,487.822189873099,1988.07038824965,3881.67050095807,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,small-medium metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,762.625994759297,3108.00572209476,6068.32343541208,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,non metro,National Vital Statistics System,Deaths,absolute number,A,355.976486394795,1464.6916119881,2884.82187050979,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,non metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,0.999202290159814,4.11129181002495,8.09750286854522,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,non metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,1.7724849659685,7.29302063830652,14.3641605285829,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,non metro,National Vital Statistics System,YLL,absolute number,A,7276.32366653029,29938.9725102732,58967.0903904441,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,non metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,21.0477758079094,86.6026320700875,170.570490739952,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,non metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,36.2304107135385,149.072707606172,293.610070323724,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,All,National Vital Statistics System,Deaths,absolute number,A,83877.0819130019,339256.25100732,657983.294394023,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,40.9884946448847,165.785488842831,321.538901015492,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,All,National Vital Statistics System,Deaths,"crude rate per 100,000",A,61.6108069122281,249.196215436512,483.312971526945,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,All,National Vital Statistics System,YLL,absolute number,A,1775110.47908227,7179760.10278809,13925055.7399143,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,All,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,850.286095075112,3439.13815692867,6670.16583380003,EPA,attributable,25,150,nation,value
1990,United States,"White, All Origins",All genders,666,All,National Vital Statistics System,YLL,"crude rate per 100,000",A,1303.88404651519,5273.79831630059,10228.4664757857,EPA,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,absolute number,A,108509.772680965,142078.602882536,174182.015205616,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,87.9477601831233,115.155479407418,141.175469481044,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,119.565346583175,156.554354285212,191.928639255813,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,YLL,absolute number,A,2358694.71111289,3088385.87439169,3786223.00909622,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,YLL,"age-adjusted rate per 100,000",A,1829.69599139962,2395.73490695771,2937.0638894678,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,large metro,National Vital Statistics System,YLL,"crude rate per 100,000",A,2599.01153278874,3403.04765488647,4171.9842843537,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,Deaths,absolute number,A,34773.1848697293,45629.6596430414,56059.6784064526,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,Deaths,"age-adjusted rate per 100,000",A,52.1560740375747,68.4396300070724,84.0835473783374,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,Deaths,"crude rate per 100,000",A,76.9534212637536,100.978913314592,124.060653761908,burnett,attributable,25,150,nation,value
1990,United States,"All, All Origins",All genders,666,small-medium metro,National Vital Statistics System,YLL,absolute number,A,724607.205654135,950835.544479445,1168177.34907367,burnett,attributable,25,150,nation,value
