Year,Ethnicity,Education,rural_urban_class,Gender.Code,Region,measure1,measure2,attr,min_age,max_age,scenario,mean,lower,upper,source,method,agr_by,measure3
2013,"All, All Origins",high school graduate or lower,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,A,10.4656297304602,6.51381180298542,15.9701095394079,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",high school graduate or lower,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,B,10.3354595167069,6.38458261232567,15.8373714725982,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",high school graduate or lower,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,C,8.30280186498301,4.40020905425326,13.7178758912753,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",high school graduate or lower,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,A,20.1662349311693,12.543875113798,30.742827760758,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",high school graduate or lower,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,B,19.9195801006317,12.2986774659471,30.4972963343727,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",high school graduate or lower,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,C,16.0163401804485,8.49468095815125,26.5547097836009,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",some college education but no 4-year college degree,All,All genders,United States,Deaths,absolute number,attributable,25,150,A,4430.8182644402,2719.31196669792,6858.79433270199,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",some college education but no 4-year college degree,All,All genders,United States,Deaths,absolute number,attributable,25,150,B,4372.25605202683,2663.63600723746,6796.91147587957,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",some college education but no 4-year college degree,All,All genders,United States,Deaths,absolute number,attributable,25,150,C,3519.28301790151,1837.60406179387,5914.20504289347,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",some college education but no 4-year college degree,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,A,5.18030131635612,3.18810764442891,7.96324900929616,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",some college education but no 4-year college degree,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,B,5.11152832357202,3.11934524780023,7.89304051331342,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",some college education but no 4-year college degree,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,C,4.11362319209466,2.15132119429029,6.87283733340351,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",some college education but no 4-year college degree,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,A,7.38069578619145,4.52973089305505,11.4251299440563,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",some college education but no 4-year college degree,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,B,7.28314498437719,4.43698790635213,11.3220477336546,National Vital Statistics System,GBD,nation,value
2013,"All, All Origins",some college education but no 4-year college degree,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,C,5.86229355175833,3.06101395862236,9.85166748748856,National Vital Statistics System,GBD,nation,value
2013,American Indian or Alaska Native,666,All,All genders,United States,Deaths,absolute number,attributable,25,150,A,151.769105092602,90.7888618866674,243.061450043297,National Vital Statistics System,GBD,nation,value
2013,American Indian or Alaska Native,666,All,All genders,United States,Deaths,absolute number,attributable,25,150,B,148.813284819064,87.8145640507092,240.128355322422,National Vital Statistics System,GBD,nation,value
2013,American Indian or Alaska Native,666,All,All genders,United States,Deaths,absolute number,attributable,25,150,C,120.203464670513,59.8594176208513,211.785141283468,National Vital Statistics System,GBD,nation,value
2013,American Indian or Alaska Native,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,A,5.37840045698973,3.24010890402999,8.73579002564646,National Vital Statistics System,GBD,nation,value
2013,American Indian or Alaska Native,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,B,5.27171242552512,3.13732866013359,8.62947260342863,National Vital Statistics System,GBD,nation,value
2013,American Indian or Alaska Native,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,C,4.24888917778916,2.14713725891223,7.60752426944209,National Vital Statistics System,GBD,nation,value
2013,American Indian or Alaska Native,666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,A,5.98967124268364,3.58304435455919,9.59258589975231,National Vital Statistics System,GBD,nation,value
2013,American Indian or Alaska Native,666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,B,5.87301777964749,3.46566166191997,9.47682931615138,National Vital Statistics System,GBD,nation,value
2013,American Indian or Alaska Native,666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,C,4.74391171489491,2.36239274197895,8.35824504334589,National Vital Statistics System,GBD,nation,value
2013,Asian or Pacific Islander,666,All,All genders,United States,Deaths,absolute number,attributable,25,150,A,861.877288949849,587.413275698465,1228.0698178666,National Vital Statistics System,GBD,nation,value
2013,Asian or Pacific Islander,666,All,All genders,United States,Deaths,absolute number,attributable,25,150,B,825.391906240391,551.492394537608,1191.48496419689,National Vital Statistics System,GBD,nation,value
2013,Asian or Pacific Islander,666,All,All genders,United States,Deaths,absolute number,attributable,25,150,C,578.141090806025,315.501443115326,944.795540941552,National Vital Statistics System,GBD,nation,value
2013,Asian or Pacific Islander,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,A,5.70015618057847,3.89932702587202,8.1196172497944,National Vital Statistics System,GBD,nation,value
2013,Asian or Pacific Islander,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,B,5.45341397400732,3.65975062358177,7.87681721164108,National Vital Statistics System,GBD,nation,value
2013,Asian or Pacific Islander,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,C,3.80413846512079,2.07407341791101,6.23737256467748,National Vital Statistics System,GBD,nation,value
2013,Asian or Pacific Islander,666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,A,6.9335271212301,4.72555192095672,9.87942889099334,National Vital Statistics System,GBD,nation,value
2013,Asian or Pacific Islander,666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,B,6.64001388705181,4.43657992118311,9.58511544475526,National Vital Statistics System,GBD,nation,value
2013,Asian or Pacific Islander,666,All,All genders,United States,Deaths,"crude rate per 100,000",attributable,25,150,C,4.65096015917224,2.53810819785348,7.60057793739672,National Vital Statistics System,GBD,nation,value
2013,Black or African American,666,All,All genders,United States,Deaths,absolute number,attributable,25,150,A,3991.15142238728,2614.17863059611,5841.01987231706,National Vital Statistics System,GBD,nation,value
2013,Black or African American,666,All,All genders,United States,Deaths,absolute number,attributable,25,150,B,3960.91936846642,2585.02532983534,5809.50585365882,National Vital Statistics System,GBD,nation,value
2013,Black or African American,666,All,All genders,United States,Deaths,absolute number,attributable,25,150,C,3059.13515526401,1710.48722124322,4904.37225242692,National Vital Statistics System,GBD,nation,value
2013,Black or African American,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,A,11.1094650442259,7.29727680728991,16.1444983649807,National Vital Statistics System,GBD,nation,value
2013,Black or African American,666,All,All genders,United States,Deaths,"age-adjusted rate per 100,000",attributable,25,150,B,11.0239999606054,7.21579485122134,16.0560180186031,National Vital Statistics System,GBD,nation,value
